Feature.ID	B1_RPKM_fwd_RNA.Seq	B2_RPKM_fwd_RNA.Seq	B3_RPKM_fwd_RNA.Seq	B4_RPKM_fwd_RNA.Seq	B5_RPKM_fwd_RNA.Seq	B6_RPKM_fwd_RNA.Seq	B7_RPKM_fwd_RNA.Seq	B8_RPKM_fwd_RNA.Seq	B9_RPKM_fwd_RNA.Seq	B10_RPKM_fwd_RNA.Seq
TMEM242	2.076	3.865	1.797	0.933	0.691	1.147	1.299	1.084	1.136	1.948
TMEM244	0.074	0	0.176	0	0	0	0.383	0.099	0.617	0.082
TMEM245	20.226	25.446	5.144	8.011	7.891	1.268	7.806	8.804	1.653	11.408
TMEM246	2.847	0.48	1.702	1.87	0	0.418	1.751	0.207	0.107	1.107
TMEM247	0	0	0.141	0	0	0.771	0	0.159	0.329	0.033
TMEM248	17.9	21.664	11.294	12.306	7.647	5.402	9.146	9.535	5.946	28.351
TMEM249	0.083	0	0	0	0	0	0	0.055	0	0.023
TMEM25	2.876	2.02	3.033	2.32	3.009	0.581	2.378	3.334	1.563	1.887
TMEM251	3.891	6.258	2.47	1.793	2.509	1.283	2.301	3.605	1.316	3.38
TMEM252	0.032	0	0.232	0	0	0.14	0.084	0.043	0.18	0.018
TMEM253	0.027	0.082	0.189	0.032	0.112	0.687	0.342	0.283	0.587	0.486
TMEM26	0.086	0.17	0.149	0.066	0.033	0.814	0.213	0.387	0.674	0.248
TMEM27	0.359	0.675	0.426	0.124	0.072	0.665	0.166	0.308	0.355	0.455
TMEM30A	43.013	69.25	43.148	31.573	17.623	8.769	17.854	7.836	13.852	65.466
TMEM30B	13.577	14.627	13.758	4.638	1.513	4.366	4.021	5.562	3.101	13.757
TMEM31	0	0	0.131	0	0.233	0.239	0.071	0	0.306	0.031
TMEM33	10.79	16.868	7.921	8.467	8.65	3.329	6.113	1.874	3.803	23.682
TMEM35	0.02	0.061	0.046	0	1.045	0.169	0.101	0.182	0.162	0.054
TMEM37	2.182	0.446	0.228	0.637	0.068	0.622	0.31	0.128	0.465	2.329
TMEM38A	0.469	0.535	0.235	0.06	0.452	1.173	0.223	0.296	0.752	0.507
TMEM38B	0.682	1.721	1.852	1.27	3.1	0.084	1.46	2.989	0.647	1.406
TMEM39A	4.748	9.389	6.24	5.367	6.742	2.364	2.968	4.47	2.576	10.449
TMEM39B	1.113	1.241	0.634	1.074	0.689	0.769	0.862	1.157	0.739	1.445
TMEM40	0.899	5.717	3.26	2.199	3.131	1.84	1.589	0.663	1.703	5.449
TMEM41A	4.68	9.422	3.094	5.286	4.17	1.669	2.199	2.958	1.545	8.491
TMEM41B	8.981	19.331	6.198	8.528	6.494	2.871	3.786	4.235	2.732	8.358
TMEM42	1.497	4.509	2.371	0.803	2.224	0.539	0.913	2.329	1.151	1.592
TMEM43	13.861	32.029	14.494	8.694	11.81	3.922	6.862	24.894	4.156	31.733
TMEM44	2.505	1.815	1.335	2.17	2.78	0.624	1.949	2.698	1.022	1.657
TMEM45A	0.285	1.402	1.659	0.343	0.182	12.18	0.267	0.414	0.788	0.646
TMEM45B	11.146	29.362	16.766	12.656	14.349	2.455	9.847	10.781	6.8	38.926
TMEM47	12.465	23.962	3.604	0.458	5.704	9.355	12.358	7.892	1.354	11.576
TMEM48	6.581	16.22	8.544	8.105	10.22	3.911	3.724	5.925	3.481	10.115
TMEM5	8.532	11.878	10.068	5.721	6.28	1.927	4.176	4.35	3.551	8.743
TMEM50A	23.146	38.822	14.529	13.215	16.28	6.833	10.621	12.515	5.984	25.673
TMEM50B	24.442	32.434	12.871	5.962	23.678	5.612	10.991	10.371	5.205	12.731
TMEM51	14.589	18.062	7.129	12.873	14.583	3.124	6.839	10.318	3.553	21.411
TMEM52	0	0	0.401	0	0.178	0.182	0.218	0.225	0	0.023
TMEM52B	0.029	0.067	0.241	0.018	0.123	0.689	0.244	0.097	0.602	0.242
TMEM53	0.405	1.567	0.24	0.58	0.356	0.218	0.718	0.438	0.63	0.814
TMEM54	11.367	15.021	8.324	8.999	6.481	2.464	6.103	5.705	4.963	23.495
TMEM55A	0.79	2.631	1.917	0.284	0.521	0.726	1.021	0.695	1.071	0.429
TMEM55B	2.903	2.34	2.916	3.134	1.927	1.224	2.225	2.801	1.634	2.659
TMEM56	0.082	1.59	0.042	0.035	0.124	0.152	0.015	0.211	0	0.046
TMEM56-RWDD3	0.597	3.279	1.483	0.786	2.025	1.524	1.437	4.27	1.803	0.904
TMEM57	8.841	11.548	4.83	6.705	10.191	2.75	4.429	10.065	2.757	11.421
TMEM59	131.298	167.578	77.976	49.983	47.15	27.514	56.553	26.785	23.443	133.76
TMEM59L	0	0	0.119	0	0	0.756	0.065	0	0.208	0.042
TMEM60	6.442	10.625	4.734	3.132	3.197	1.602	3.411	3.584	2.951	9.362
TMEM61	0.037	0	0.175	0	0.052	0	0.048	0.049	0.102	0.02
TMEM62	4.076	12.177	2.638	6.155	7.796	1.578	3.415	10.132	2.589	8.109
TMEM63A	8.341	8.501	9.302	14.058	4.285	1.452	9.303	3.32	2.817	7.665
TMEM63B	7.234	8.816	12.919	6.793	3.045	1.147	7.92	4.587	2.416	9.265
TMEM63C	0.007489	0.023	0.552	0.009039	0	0.55	0.106	0.05	0.435	0.071
TMEM64	13.979	60.915	3.909	5.087	4.728	2.067	2.06	6.191	1.929	5.591
TMEM65	1.804	4.06	3.972	0.692	1.627	0.771	1.371	3.783	1.04	9.405
TMEM66	98.556	144.933	90.373	22.946	16.652	36.156	44.102	11.052	13.993	93.963
TMEM67	2.772	5.21	2.887	1.758	5.93	1.151	2.698	1.887	1.198	2.453
TMEM68	6.688	16.256	6.886	3.562	6.686	3.696	3.991	5.449	2.465	13.742
TMEM69	8.609	11.333	9.147	7.27	8.441	2.376	5.078	3.704	4.035	9.724
TMEM70	3.296	6.897	4.167	2.233	6.078	1.915	1.867	4.961	2.081	6.536
TMEM71	0.189	0.352	0.494	0.068	0	0.654	0.318	0.101	0.576	0.336
TMEM72	0	0	0.177	0	0	0.483	0.096	0.05	0.206	0.021
TMEM74	0.019	0	0	0	0.027	1.172	0.15	0.103	1.127	0.172
TMEM74B	0.565	0	1.453	0.681	1.888	0	0.699	1.098	0.586	0.117
TMEM79	1.287	3.303	1.834	1.198	0.725	1.27	1.163	2.525	0.763	3.244
TMEM80	2.194	1.583	1.184	1.504	1.474	0.646	1.094	0.565	0.345	0.553
TMEM81	0.425	0.282	0.722	0.623	0.513	0.262	0.314	0.284	0.336	0.489
TMEM82	0	0	0.126	0	0	0	0.103	0	0.221	0.015
TMEM86A	0.248	1.102	0.402	0.314	0.286	0.634	0.51	0.678	0.75	0.395
TMEM86B	0.231	0.072	0.439	0.335	0.358	0.1	0.179	0.154	0.064	0.128
TMEM87A	20.767	35.797	18.038	11.45	14.618	6.027	9.972	12.996	8.166	30.994
TMEM87B	23.683	26.814	14.309	14.606	6.797	4.091	12.489	8.519	5.2	24.815
TMEM88	0.139	0.143	0.11	0.279	0.326	0.2	0.299	0.556	0.256	0.051
TMEM88B	0	0	0.195	0	0	0.355	0	0	0	0
TMEM89	0	0	0.2	0	0.237	0.364	0	0	0	0
TMEM8A	3.043	5.314	2.655	3.299	0.919	0.478	1.586	1.697	1.317	2.168
TMEM8B	0.459	0.273	0.511	0.425	0.289	0.422	0.492	0.365	0.487	0.401
TMEM8C	0	0	0.117	0	0	0	0.064	0	0.137	0
TMEM9	13.013	14.008	18.86	6.282	5.107	1.703	10.251	7.572	4.221	18.121
TMEM91	0.824	1.452	2.16	0.206	1.28	0.368	0.734	0.379	0.393	0.788
TMEM92	0.029	0.111	0.683	0.052	0	0.621	0.223	0.096	0.199	0.136
TMEM95	0.035	0.054	0	0.084	0.097	0.15	0.134	0.092	0.096	0
TMEM97	44.869	56.521	1.909	35.406	33.291	7.827	3.051	19.686	8.156	52.857
TMEM98	9.264	4.783	6.05	1.85	2.031	1.071	3.58	4.599	1.934	5.492
TMEM99	0.785	1.765	1.198	0.361	0.631	0.646	0.482	0.473	0.879	1.057
TMEM9B	18.371	27.528	13.652	8.663	8.318	5.583	9.655	6.956	5.047	10.337
TMF1	17.709	28.953	17.716	13.069	16.866	4.04	8.619	5.851	5.145	27.204
TMIE	0.109	0.37	0.362	0	0.031	0.188	0.14	0.203	0.181	0.458
TMIGD1	0.034	0	0.64	0	0.047	1.019	0.217	0.135	0.933	0.243
TMIGD2	0	0	0.076	0.116	0.045	0.276	0	0.085	0.177	0.514
TMLHE	5.911	7.38	3.167	2.698	3.354	0.932	3.532	2.628	2.117	3.216
TMOD1	0.236	0.915	0.168	0.214	0.266	0.204	0.473	0.409	0.458	0.321
TMOD2	1.18	1.958	0.847	0.346	4.142	0.647	1.263	2.796	1.573	0.882
TMOD3	21.329	50.955	20.601	13.238	18.355	5.015	8.793	16.22	9.018	32.383
TMOD4	0.214	0.047	0.291	0.259	0.603	0.661	0.632	0.49	0.678	0.238
TMPO	11.559	30.13	12.919	13.219	22.146	4.773	4.632	26.617	3.652	18.704
TMPPE	0.02	0.047	0	0.037	0.014	0.044	0.013	0	0	0.023
TMPRSS11A	0.067	0.103	0.119	0.04	0.023	1.152	0.43	0.267	1.015	0.666
TMPRSS11B	0	0	0.254	0.018	0.022	0.33	0.237	0.265	0.593	0.136
TMPRSS11BNL	0.038	0	0.18	0	0	0.327	0.163	0.084	0.7	0.316
TMPRSS11D	0.029	0.023	0.242	0.018	0	0.314	0.225	0.233	1.087	0.299
TMPRSS11E	3.334	7.394	0.225	0.091	3.76	1.145	0.44	0.354	2.517	1.114
TMPRSS11F	0.019	0	0.37	0	0	1.01	0.453	0.338	1.025	0.422
TMPRSS12	0	0	0	0	0	0.358	0.107	0.295	0.612	0.169
TMPRSS13	0.043	0.027	0.206	0.042	0.012	0.299	0.168	0.312	0.503	3.521
TMPRSS15	0	0	0.171	0	0.029	0.975	0.291	0.301	0.937	0.262
TMPRSS2	19.242	53.44	10.74	28.622	26.128	2.422	4.815	17.193	10.761	59.038
TMPRSS3	0.074	0	0.176	0.179	0.021	0.703	0.554	0.02	0.983	0.09
TMPRSS4	11.285	35.191	125.636	9.766	1.692	8.306	29.364	1.206	6.368	38.531
TMPRSS5	0	0	0	0.066	0.103	0.079	0.26	0.073	0.253	0.071
TMPRSS6	0	0.098	0.181	0	0	0.383	0.082	0.017	0.105	0.077
TMPRSS7	0.113	0.15	0.498	0.039	0.091	1.115	0.396	0.108	0.67	0.313
TMPRSS9	0.013	0	0.091	0	0	0.165	0.066	0.034	0.176	0
TMSB10	693.242	2294.123	712.248	333.714	696.827	101.163	270.959	642.617	150.805	483.981
TMSB15A	0.182	0	0	0	1.71	0.787	0.157	0.648	0.168	0.034
TMSB15B	1.336	0.282	1.443	0.513	5.217	0.787	0.941	2.43	0.505	2.191
TMSB4X	1342.126	1887.802	414.387	257.121	358.036	292.023	831.703	351.763	350.958	2310.376
TMSB4Y	2.885	2.478	2.015	0.059	1.126	1.885	0.125	0	1.275	3.633
TMTC1	0.334	1.043	0.418	0.377	0.229	0.589	0.506	0.288	0.694	0.559
TMTC2	9.212	6.876	5.242	4.348	3.283	4.55	3.843	5.685	2.754	8.555
TMTC3	11.352	13.538	14.984	5.959	7.077	3.421	4.99	4.262	2.643	26.036
TMTC4	7.059	10.534	5.607	8.078	7.389	2.188	4.258	5.318	1.492	6.807
TMUB1	1.791	2.41	1.063	1.389	1.861	0.552	1.294	1.336	0.649	2.934
TMUB2	2.605	2.805	2.34	2.166	2.505	0.618	2.359	1.822	0.967	3.235
TMX1	22.171	32.664	14.379	13.064	12.005	5.323	10.68	7.73	4.858	27.816
TMX2	14.036	30.331	20.231	10.791	9.033	4.28	10.174	7.896	5.486	24.078
TMX3	13.6	17.421	14.422	12.123	6.194	5.82	8.092	2.945	3.989	15.153
TMX4	12.216	17.52	9.132	3.341	4.738	3.912	5.515	5.992	2.459	4.864
TNC	0.325	0.707	0.425	0.403	0.49	0.61	0.231	0.326	0.599	0.781
TNF	0	0.299	0	1.282	0.204	0.313	0.218	0.193	0.735	0.094
TNFAIP1	5.024	8.984	5.147	8.012	4.92	1.698	3.209	5.524	2.235	13.494
TNFAIP2	8.906	33.61	77.532	55.767	28.417	13.94	25.026	27.306	11.83	56.784
TNFAIP3	0.538	1.825	2.657	5.648	1.082	0.959	0.86	1.765	2.222	0.45
TNFAIP6	0	0.264	0.405	0.137	0.32	0.614	0.22	0.417	0.393	0.252
TNFAIP8	9.255	23.494	4.432	9.343	4.005	2.793	3.053	2.562	3.273	7.608
TNFAIP8L1	0.787	1.219	1.068	1.134	1.812	0.397	0.158	0.572	0.368	1.605
TNFAIP8L2	0.034	0.106	0	0	0	0.148	0.133	0	0.095	0.019
TNFAIP8L2-SCNM1	0.789	1.995	2.812	1.379	3.304	1.525	2.789	2.797	1.265	1.602
TNFAIP8L3	0.251	0.055	0.213	0.065	0.227	0.387	0.254	0.191	0.694	0.109
TNFRSF10A	3.791	4.011	4.943	4.883	0.325	2.397	2.328	0.401	1.152	4.183
TNFRSF10B	6.866	6.382	7.311	10.051	4.511	2.356	9.055	0.818	3.856	16.368
TNFRSF10C	0.162	0.671	0.965	0.294	0.152	1.521	1.818	0.144	0.9	1.278
TNFRSF10D	1.201	0.549	2.065	0.455	0.676	1.087	0.96	0.259	0.38	0.374
TNFRSF11A	0.59	1.119	1.339	1.074	0.099	0.533	0.455	1.104	0.463	0.43
TNFRSF11B	0.207	0.267	0.451	0.583	0.121	1.266	0.334	0.782	0.668	0.354
TNFRSF12A	3.016	23.722	0.558	1.418	2.04	0.338	1.922	3.76	3.253	5.695
TNFRSF13B	0	0	0.212	0.036	0.042	0.257	0.077	0	0.412	0.083
TNFRSF13C	0.087	0.134	0.103	0.366	0.061	0	0.112	0.116	0.36	0.12
TNFRSF14	5.119	4.112	6.137	5.607	1.902	0.921	4.009	0.474	1.64	2.052
TNFRSF17	0.122	0.504	0.774	0	0	0.527	0.21	0.054	0.225	0.158
TNFRSF18	0	0.104	0	0	0	0	0	0	0.093	0
TNFRSF19	0.025	3.238	0.318	0.02	0.424	0.686	0.205	0.234	0.602	0.19
TNFRSF1A	7.706	10.22	8.592	9.828	4.529	4.711	5.82	3.151	2.667	26.278
TNFRSF1B	0.187	1.415	0.262	0.731	0.883	0.666	0.455	0.279	0.488	0.214
TNFRSF21	46.058	80.52	90.714	24.59	34.246	13.226	28.722	35.068	13.869	89.354
TNFRSF25	0.845	0.262	1.104	0.765	1.843	0.456	1.2	1.661	0.585	0.293
TNFRSF4	0	0.17	0.087	0	0.155	0	0.047	0.098	0	0
TNFRSF6B	0.035	0.434	0.083	0.254	0.444	0	0.181	0.093	0	0.097
TNFRSF8	0.022	0.034	0.077	0.013	0.015	0.561	0.112	0.087	0.21	0.03
TNFRSF9	0.02	0.063	0.144	0.041	0.048	0.262	0.061	0.153	0.467	0.045
TNFSF10	85.3	33.504	17.848	7.044	3.699	8.613	8.286	20.162	3.911	16.643
TNFSF11	0.045	0.345	0.775	0.09	0.042	0.513	0.613	0.415	0.534	0.362
TNFSF12	0.263	0.226	0.069	0.035	0.123	0	0.415	0.272	0.242	0.972
TNFSF12-TNFSF13	0.846	0.504	0.98	0.655	0.458	0.375	0.364	0.55	0.421	1.048
TNFSF13	0.96	1.57	8.488	0.901	0.3	0.23	0.666	0.237	0.64	4.144
TNFSF13B	0.636	0.821	0.792	0.384	0.128	1.047	0.958	0.222	0.797	0.462
TNFSF14	0.084	0.346	0.066	0.084	0	0.362	0.09	0.075	0.271	0.078
TNFSF15	1.848	13.877	0.71	0.563	1.229	1.576	0.849	0.981	1.573	2.868
TNFSF18	0	0.084	0.257	0	0	0.467	0.07	0.216	0.15	0.15
TNFSF4	0.012	0.126	0.385	0.056	0.033	0.7	0.239	0.386	0.77	0.283
TNFSF8	0.035	0.191	0.146	0.011	0.062	0.835	0.318	0.211	0.462	0.224
TNFSF9	0.024	0.038	0	0.059	0.137	0	0.031	0.032	0.202	0.013
TNIK	6.738	7.934	4.238	0.109	2.894	1.625	3.545	0.483	1.698	0.928
TNIP1	13.689	16.538	9.904	19.501	5.412	3.31	6.105	3.603	4.854	7.425
TNIP2	7.203	12.878	5.845	5.436	7.57	2.486	4.151	2.276	2.252	13.854
TNIP3	0.029	0	0.21	0.071	0.041	1.018	0.304	0.196	0.897	0.351
TNK1	1.786	1.051	2.598	1.286	1.13	0.179	1.054	1.403	0.498	1.836
TNK2	0.937	2.099	1.133	3.998	2.331	0.65	1.156	1.539	0.695	2.813
TNKS	9.804	8.142	8.971	7.28	4.955	3.459	5.421	2.557	2.905	17.196
TNKS1BP1	6.945	15.517	7.58	7.048	7.134	3.603	4.407	1.613	3.656	16.679
TNKS2	20.964	19.499	21.523	21.256	15.397	4.039	10.442	8.496	6.052	35.403
TNMD	0.03	0.046	0.143	0.036	0	0.389	0.194	0.36	0.415	0.25
TNN	0	0.025	0.211	0	0.011	1.012	0.229	0.42	0.895	0.076
TNNC1	3.778	22.421	0	1.333	0.573	1.758	1.051	0.93	2.253	20.938
TNNC2	0	0.367	1.407	0.214	0.5	0.256	0.229	0.237	0.328	0.099
TNNI1	0.026	0.153	0.219	0	0.037	0.597	0.315	0.141	0.182	0.088
TNNI2	1.253	2.64	38.587	6.475	0.494	0.65	82.148	0.267	0.694	0.89
TNNI3	0	0	2.622	0.058	0.676	1.451	0.372	0.064	0.664	0.32
TNNI3K	0.013	0	0	0	0	0	0.017	0.018	0	0.007428
TNNT1	0.154	0.359	24.853	0	0.435	0.834	0.15	0.051	0.107	0.236
TNNT2	0.279	1.079	2.564	1.135	0.833	0.902	2.068	0.743	1.157	0.386
TNNT3	106.293	0.785	126.515	170.508	1.695	1.505	24.464	0.338	4.034	1.6
TNP1	0	0	0	0	0	2.174	0	0.134	0.557	0.223
TNP2	0	0	0.161	0	0	0.293	0.35	0	0.375	0.075
TNPO1	27.876	29.558	20.573	11.585	12.323	4.997	13.702	12.113	7.447	20.879
TNPO2	2.323	1.391	2.556	3.977	2.862	0.833	1.14	1.593	0.76	2.603
TNPO3	14.085	18.722	7.951	10.293	13.219	3.961	8.087	8.682	5.331	22.912
TNR	0.007795	0	0.204	0	0	0.775	0.232	0.333	0.885	0.173
TNRC18	4.638	2.762	3.991	3.52	2.096	0.86	1.863	3.19	1.271	5.654
TNRC6A	9.064	5.417	5.842	7.728	15.816	1.743	7.126	6.412	3.178	10.338
TNRC6B	7.821	7.006	7.711	5.156	2.955	1.664	4.728	2.947	2.229	10.173
TNRC6C	1.56	1.634	0.629	0.949	1.176	0.911	0.753	1.363	0.55	1.534
TNS1	1.028	1.872	0.234	0.456	0.233	1.157	0.635	0.446	0.741	0.662
TNS3	7.743	6.088	1.211	4.519	3.768	1.812	3.833	4.391	2.161	13.128
TNS4	13.83	2.74	4.154	10.301	2.783	1.717	5.658	0.265	4.401	11.762
TNXB	0.038	0.189	0.159	0.018	0.033	0.226	0.124	0.074	0.201	0.073
TOB1	20.012	48.75	16.203	15.573	13.94	4.853	12.454	12.156	11.107	37.739
TOB2	8.366	11.93	11.011	4.076	1.647	2.795	4.177	3.959	2.797	14.058
TOE1	1.691	3.249	2.089	1.143	1.714	1.315	1.223	1.083	0.843	1.699
TOLLIP	6.544	7.688	12.106	3.269	2.256	2.101	3.768	1.238	2.081	6.798
TOM1	2.415	3.289	2.734	1.33	1.164	0.42	1.319	1.643	0.987	3.868
TOM1L1	12.864	31.228	14.047	15.234	18.401	5.079	9.354	8.808	5.313	16.006
TOM1L2	10.985	9.172	2.747	6.869	2.971	0.752	2.339	3.149	1.851	5.768
TOMM20	49.859	111.89	26.446	50.605	26.065	11.352	17.337	8.538	9.986	42.82
TOMM20L	0.398	0	0.473	0.32	0.747	0.287	0.685	0.531	0	0.368
TOMM22	29.066	47.981	30.13	18.888	15.334	9.639	12.435	7.596	8.209	39.923
TOMM34	9.438	23.46	4.409	7.054	15.01	2.218	4.538	10.796	4.482	12.592
TOMM40	4.243	10.781	7.36	5.691	6.954	1.552	2.754	1.976	1.927	7.277
TOMM40L	1.495	2.386	7.606	1.969	2.615	1.044	2.145	2.336	1.547	2.632
TOMM5	34.035	108.137	35.392	31.226	33.722	20.04	19.583	27.66	14.201	33.446
TOMM6	18.808	39.261	18.569	12.122	15.74	4.912	14.07	11.119	4.328	27.976
TOMM7	56.552	74.363	37.046	24.717	27.189	13.665	27.876	17.022	9.218	39.58
TOMM70A	23.013	67.191	17.989	14.501	18.331	5.705	6.976	9.286	4.908	22.577
TONSL	0.43	2.873	0.766	0.941	1.388	0.581	0.243	1.087	0.347	1.129
TOP1	18.43	18.597	19.407	19.917	15.055	2.808	8.282	10.62	7.019	30.14
TOP1MT	10.147	48.579	6.606	6.512	5.548	3.341	5.16	1.203	2.345	9.403
TOP2A	11.801	29.249	15.67	19.225	41.67	6.714	1.68	49.132	5.237	49.823
TOP2B	108.096	212.398	123.485	100.702	120.751	19.636	40.985	238.975	33.585	218.222
TOP3A	1.72	2.208	1.588	2.432	3.335	0.849	1.079	5.02	1.633	2.199
TOP3B	1.432	1.513	1.237	2.64	2.145	0.506	1.396	1.684	0.793	1.915
TOPAZ1	0.007585	0	0.162	0	0	0.524	0.108	0.162	0.42	0.156
TOPBP1	8.832	13.153	8.629	8.504	19.912	3.302	4.319	12.746	3.289	14.016
TOPORS	11.586	16.745	6.564	6.132	7.862	1.968	6.009	6.503	3.784	7.178
TOR1A	8.645	11.546	3.377	6.376	5.436	0.996	4.242	4.253	1.436	6.12
TOR1AIP1	17.784	21.705	16.643	10.696	4.51	3.147	8.028	15.558	4.89	28.68
TOR1AIP2	20.332	19.924	11.569	9.702	6.698	2.811	4.959	12.316	5.145	39.317
TOR1B	6.078	9.574	2.742	5.396	3.97	0.757	3.264	2.962	1.213	4.752
TOR2A	0.703	0.718	0.304	0.27	0.562	0.207	0.412	1.129	0.354	0.426
TOR3A	3.41	7.613	4.253	2.897	2.199	0.411	2.312	7.874	0.896	3.986
TOR4A	1.233	1.833	0.52	0.42	0.644	0.43	0.475	0.133	0.165	1.22
TOX	0.049	0.121	0.14	0.012	0.041	1.185	0.114	0.235	0.542	0.304
TOX2	0.043	0.111	0.102	0.052	0.02	0.804	0.203	0.115	0.476	0.064
TOX3	12.255	9.019	1.846	11.544	24.489	0.981	4.106	10.236	4.965	7.81
TOX4	7.602	8.547	6.076	5.829	3.248	2.163	3.695	3.995	2.302	6.8
TP53	10.043	13.372	10.765	10.308	6.508	1.015	4.823	0.906	4.302	10.169
TP53AIP1	0.047	0.036	0.112	1.517	0.083	0.051	0.167	0.141	0.26	0.196
TP53BP1	14.481	13.045	15.257	13.952	14.83	2.915	9.641	9.999	8.705	27.45
TP53BP2	7.891	11.987	13.366	8.983	7.148	1.314	4.865	4.743	3.321	13.513
TP53I11	0.722	0.518	1.48	1.439	0.242	0.351	0.875	2.806	0.3	0.381
TP53I13	2.311	0.647	2.381	1.848	2.117	0.481	1.294	2.191	1.542	3.199
TP53I3	5.41	8.566	4.442	2.617	4.144	1.203	4.495	5.623	2.092	4.659
TP53INP1	14.245	26.645	10.407	5.339	10.087	2.907	7.801	3.79	5.747	21.267
TP53INP2	0.608	0.562	1.002	1.551	0.898	0.678	0.583	6.437	0.625	0.849
TP53RK	4.846	7.265	6.212	4.155	6.518	1.813	2.788	3.839	1.461	10.165
TP53TG3	0.042	0.032	0.149	0	0	0.362	0.108	0.559	0.696	0.093
TP53TG3B	0	0	0.05	0.025	0	0.181	0.162	0.335	0.464	0.14
TP53TG3C	0	0	0	0	0	0	0.08	0.041	0.429	0.034
TP53TG5	0.041	0	0	0	0.116	0.178	0.16	0.11	0	0.137
TP63	37.426	21.22	42.074	22.155	21.52	7.849	21.516	1.265	10.455	48.781
TP73	0.132	0.306	0.975	0.15	0.01	0.222	0.246	0.127	0.284	0.516
TPBG	3.432	3.514	8.18	3.201	1.867	1.105	3.094	1.225	1.417	3.906
TPBGL	0.072	0.022	0.137	0	0.02	0.25	0.019	0.848	0.24	0
TPCN1	3.002	4.088	1.743	6.882	2.757	1.013	3.711	2.128	1.821	2.556
TPCN2	0.612	0.524	0.421	1.389	0.465	0.835	0.665	0.87	0.379	0.474
TPD52	10.585	69.62	9.994	8.949	12.416	7.005	5.176	6.643	4.265	8.34
TPD52L1	4.222	5.386	4.071	2.968	2.343	1.609	2.533	0.629	0.688	3.584
TPD52L2	14.18	17.526	11.954	8.125	12.691	3.167	6.691	4.289	2.998	17.072
TPD52L3	0	0	0.247	0	0	0.4	0.269	0.077	0.609	0.167
TPGS1	0.363	0.675	0.345	0.044	0.358	0	0.188	0.291	0.101	0.202
TPGS2	16.007	15.023	10.891	6.976	6.758	2.708	7.969	5.852	5.803	13.31
TPH1	0.045	0	0.371	0.108	0.126	0.867	0.23	0.297	0.864	0.148
TPH2	0.034	0	0.285	0.021	0	3.184	0.354	0.389	0.522	0.228
TPI1	98.551	213.642	230.694	78.798	76.075	29.85	41.686	49.999	39.164	147.055
TPK1	1.51	2.57	1.616	2.082	0.981	1.648	1.456	0.553	1.515	1.436
TPM1	11.534	25.012	3.5	9.227	15.115	2.974	3.337	12.304	4.279	15.343
TPM2	3.444	13.936	3.419	2.296	2.316	0.999	2.688	1.474	2.206	2.511
TPM3	19.228	47.226	20.84	10.89	33.413	3.502	10.603	28.489	6.703	25.745
TPM4	78.585	113.279	114.288	34.912	69.626	9.894	18.057	36.382	16.559	4.666
TPMT	6.399	12.785	4.702	3.275	7.974	1.667	2.604	2.258	2.343	10.654
TPO	0.013	0	0.183	0	0	0.222	0.133	0.103	0.427	0.086
TPP1	2.565	1.472	2.448	2.847	0.854	1.187	1.715	1.069	1.553	1.481
TPP2	16.558	24.105	13.302	18.958	22.862	5.305	10.679	8.658	6.918	29.175
TPPP	0.349	0.146	0.112	0.041	0.028	0.29	0.243	0.224	0.149	0.052
TPPP2	0	0.078	0.241	0.489	0.071	0.875	0.131	0.203	0.421	0.393
TPPP3	0.179	0.498	0.255	0.216	0.403	0.154	0	1.144	0.198	0.139
TPR	41.762	61.509	47.59	22.726	31.5	7.885	16.935	55.798	11.445	48.922
TPRA1	4.425	8.92	3.651	3.911	4.04	1.68	2.534	3.457	1.692	8.612
TPRG1	0.199	0.583	0.289	0.668	0.202	1.386	0.343	0.28	0.643	0.559
TPRG1L	9.698	7.46	9.619	5.672	3.777	1.728	3.593	3.6	2.675	8.231
TPRKB	16.194	33.919	12.908	12.208	24.312	3.718	7.294	10.977	4.021	26.127
TPRN	1.338	2.168	0.767	1.188	1.104	0.598	0.774	1.374	0.298	1.886
TPRX1	0	0	0.052	0	0	0.095	0.114	0.205	0.183	0.037
TPSAB1	0	1.312	0.08	0.286	0	0.146	0	0.09	0.281	0.132
TPSB2	0	1.505	0.165	0.042	0	0.15	0.045	0.139	0.192	0.308
TPSD1	0	0	0	0	0	0.409	0.183	0	0	0.026
TPSG1	0.073	0	0	0	0	0.158	0.095	0	0.101	0.02
TPST1	3.136	5.286	1.874	2.643	2.111	2.471	1.274	1.947	1.038	1.226
TPST2	2.671	6.554	1.39	1.906	2.031	1.6	1.208	0.832	1.187	4.675
TPT1	2252.521	3254.129	1392.256	1361.03	484.3	316.651	959.81	1304.687	461.916	1688.279
TPTE	0.333	0.029	0.395	0.067	0.26	2.157	0.883	9.715	1.843	0.523
TPTE2	0.206	0.087	0.579	0.136	0.158	2.026	0.654	0.375	1.35	0.416
TPX2	3.105	7.051	4.383	8.321	20.033	1.909	0.485	17.356	2.386	10.43
TRA2A	20.877	27.71	18.324	23.554	20.79	4.367	15.295	11.605	11.316	20.088
TRA2B	14.042	30.985	13.98	9.698	17.897	3.992	7.891	12.551	4.752	26.035
TRABD	2.569	5.685	3.072	3.544	1.796	0.755	1.941	1.189	1.548	3.414
