Feature.ID	ST3_RPKM_fwd_RNA.Seq	SB3_RPKM_fwd_RNA.Seq	SC3_RPKM_fwd_RNA.Seq	SL3_RPKM_fwd_RNA.Seq	SC4_RPKM_fwd_RNA.Seq	SL4_RPKM_fwd_RNA.Seq	ST4_RPKM_fwd_RNA.Seq	SB4_RPKM_fwd_RNA.Seq	SC2_RPKM_fwd_RNA.Seq	SL2_RPKM_fwd_RNA.Seq	SB2_RPKM_fwd_RNA.Seq	ST2_RPKM_fwd_RNA.Seq	SC1_RPKM_fwd_RNA.Seq	SL1_RPKM_fwd_RNA.Seq	SB1_RPKM_fwd_RNA.Seq	ST1_RPKM_fwd_RNA.Seq
SLC26A7	0.504	0.008708	0.059	0.033	0.185	0	0.14	0.218	0.224	0	0.019	0.291	0.074	0.656	0.031	0.15
SLC26A8	0.388	0	0.057	0.088	0.026	0	0.173	0	0.008952	0	0.031	0.022	0.034	0.537	0	0
SLC26A9	0.336	0.408	0.085	0	0	0	0.437	1.164	0	0	0.035	0.114	0.8	0.263	0.105	0.527
SLC27A1	0.303	0.524	0.672	0.432	0.43	0.041	0.218	1.253	0.892	0	0.561	0.385	0.515	0.301	0.907	0.243
SLC27A2	0.945	0.273	2.422	22.111	0.871	2.691	0.185	1.335	0.905	26.78	0.716	0.326	6.164	11.434	1.179	0.336
SLC27A3	0.491	0.811	0.932	1.799	0.518	2.069	0.625	0.189	1.352	0.347	0.778	0.42	1.186	1.125	1.557	0.405
SLC27A4	0.202	1.885	0.874	1.898	0.478	0.391	0.357	1.141	0.839	1.178	1.539	0.61	1.829	0.576	7.417	0.701
SLC27A5	0.319	0.085	0.605	20.384	0.528	5.501	0.155	5.542	0.191	31.675	0.164	0.066	3.451	14.388	0.122	0.049
SLC27A6	0.72	0.901	0	0.022	0	0	0.362	0	0	0	0.156	0.673	0	0.341	0.013	0.991
SLC28A1	0.158	0.029	0.2	8.206	0.149	3.156	0.011	0	0	4.544	0	0	0.465	2.247	0.064	0.034
SLC28A2	0.699	0.02	0	0.156	0.038	0	0.075	0	0.066	0	0	0.032	0.074	0.866	0	0
SLC28A3	0.673	0.898	0.147	0.055	0.04	0.435	0.404	0.049	0.006965	0	1.883	0.135	0.749	0.544	0.273	0.558
SLC29A1	0.494	0.639	3.129	2.865	2.469	1.866	0.481	4.672	3.698	6.211	1.894	0.62	2.324	1.268	2.388	0.67
SLC29A2	0.086	0.02	0.867	0.025	0.313	0.286	0.307	0	0.347	0.166	0.066	0.217	0.363	0.154	2.342	0.091
SLC29A3	0.616	0.42	0.659	1.657	1.038	0.591	0.275	0.15	1.066	0.184	1.507	0.463	1.42	0.256	1.749	0.202
SLC29A4	0.112	0.104	0.33	0.11	0.096	0.249	0	0.473	0	0	0.401	0	0.105	0.134	0.037	0
SLC2A1	1.291	16.413	18.282	0.209	8.737	0.968	1.533	2.36	4.286	0.57	5.916	2.529	3.468	0.502	24.811	3.006
SLC2A10	0.483	1.505	3.345	3.527	0.71	1.371	0.165	0.054	2.31	3.063	2.661	0.377	1.682	1.602	6.073	0.461
SLC2A11	0.501	0.526	0.37	0.446	1.202	0.596	1.326	0.354	0.301	0	0.428	1.21	0.921	0.414	1.597	0.468
SLC2A12	0.711	0.188	1.545	0.308	2.049	0.008575	0.118	0.102	0.831	0.075	0.039	0.502	1.251	0.866	0.194	0.493
SLC2A13	0.769	2.408	1.517	1.295	1.064	1.522	0.373	0.016	1.038	0.06	0.497	0.663	2.705	0.775	0.671	0.509
SLC2A14	0.785	0.091	0.155	0.465	0.021	0.087	0.402	0.26	0.162	0.953	0.025	0.089	0.028	1.148	0.329	0.026
SLC2A2	0.595	0	1.446	50.891	0.404	10.931	0.086	8.02	0	15.09	0.032	0	14.15	35.83	0.105	0.084
SLC2A3	3.226	20.509	12.022	3.713	12.278	26.199	4.725	3.502	24.671	2.125	2.988	7.358	5.011	1.773	6.827	5.968
SLC2A4	0.273	0.128	0.043	0.061	0.132	0.518	0.093	0	0.082	0	0.053	0.149	0.058	0.216	0	0.164
SLC2A4RG	0.614	1.432	1.763	4.483	1.847	0.674	0.887	0.45	2.126	2.204	1.212	1.044	1.203	2.382	4.899	0.832
SLC2A5	0.415	0.861	0.215	0.067	0.049	0.017	1.03	0	0.407	0	3.309	0.779	0.085	0.17	1.595	0.523
SLC2A6	0.169	0.237	0.187	0.176	0.327	0.038	0.708	0	0.926	1.479	0.477	0.429	0.12	0.152	1.916	0.271
SLC2A7	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0
SLC2A8	0.204	0.499	1.387	1.27	0.329	0.25	0.209	0	1.468	1.783	1.465	0.351	0.577	0.367	1.009	0.218
SLC2A9	0.362	0.773	0.95	1.014	0.223	3.464	0.071	0.822	0.839	0	0.319	0.263	0.762	1.539	1.025	0.332
SLC30A1	1.867	3.955	6.515	33.982	5.227	8.684	0.547	17.395	2.705	8.917	3.313	2.319	10.08	10.281	7.861	1.993
SLC30A10	0.339	0.018	0.453	10.537	0.276	1.682	0.077	2.396	0.091	1.173	0	0.014	2.369	4.756	0	0
SLC30A2	0.044	0	0.386	0	0.037	0	0.015	0.184	0.601	0	0.581	0	0	0.118	0	0
SLC30A3	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0.093	0	0
SLC30A4	1.18	1.955	0.715	0.432	1.058	0.459	1.664	0.053	2.2	0	0.464	1.174	0.725	0.701	1.989	1.381
SLC30A5	1.834	3.01	2.193	2.149	2.881	1.293	1.586	1.031	3.241	0.352	4.068	4.234	3.806	1.509	4.227	3.905
SLC30A6	1.951	2.234	3.348	1.312	2.311	1.064	2.281	0.459	2.908	0.169	5.597	4.281	4.134	1.25	8.697	3.935
SLC30A7	2.83	3.935	3.366	3.668	4.516	3.67	3.128	0.68	4.694	5.501	3.9	5.995	5.478	2.018	5.563	5.42
SLC30A8	0.331	0	0.023	0.011	0	0	0.05	0	0	0	0.028	0.013	0.062	0.58	0.025	0.009825
SLC30A9	3.994	8.558	7.186	4.66	13.365	7.361	4.86	0.21	8.746	3.208	7.607	9.089	13.036	3.122	14.072	8.775
SLC31A1	1.307	2.574	4.619	15.662	2.295	6.079	1.016	0.835	4.13	15.678	4.625	1.624	6.628	6.797	6.156	2.814
SLC31A2	1.153	2.009	1.152	1.908	0.861	1.867	0.974	0.128	3.896	0.236	3.208	1.605	1.82	0.984	9.125	2.105
SLC32A1	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0
SLC33A1	1.78	1.883	2.377	1.927	3.181	0.882	1.428	0.658	1.898	2.855	2.885	3.991	4.731	1.654	6.352	3.498
SLC34A1	0.156	0	0.02	0.129	0	0	0.042	0	0.037	0	0	0	0.053	0.056	0	0.05
SLC34A2	0.481	0.024	0.096	0.045	0.087	0.023	0.717	0.027	0.068	0	0.013	0.761	0.573	0.433	0	0.648
SLC34A3	0.14	0.414	0	0	0	0.021	0	0	0	0	0	0	0.053	0	0.047	0
SLC35A1	2.203	2.739	2.43	1.641	2.694	2.846	1.736	0.06	3.321	0	2.522	3.785	6.487	1.373	2.768	2.321
SLC35A2	0.482	0.467	2.98	0.99	1.944	0.182	0.494	0.079	1.202	0.288	2.055	0.537	2.203	0.534	2.626	0.455
SLC35A3	1.753	3.691	11.95	3.476	4.198	2.614	0.89	0.053	3.667	1.753	2.802	4.265	7.595	2.436	4.069	5.294
SLC35A4	1.418	2.286	2.179	2.932	1.672	1.753	1.578	0.257	3.647	1.26	3.098	2.04	2.865	1.095	4.583	2.076
SLC35A5	1.904	2.066	2.294	1.694	1.967	1.78	1.588	0.194	2.197	0.142	9.603	3.462	3.273	1.121	6.846	3.244
SLC35B1	1.997	2.497	5.456	8.022	2.419	0.364	1.736	3.94	10.539	3.176	6.242	3.65	7.857	2.534	22.545	3.004
SLC35B2	0.95	0.714	2.938	1.784	1.973	0.4	1.172	4.19	2.913	0.205	0.867	0.994	2.03	0.523	5.243	0.563
SLC35B3	1.652	2.402	5.751	2.566	3.739	2.146	1.71	0.412	4.214	0	5.288	4.12	2.53	1.838	6.232	3.969
SLC35B4	0.979	0.994	0.949	1.471	0.611	0.627	1.025	0.234	0.644	0.614	0.802	1.488	2.109	1.451	1.824	1.509
SLC35C1	0.41	1.263	2.909	8.57	1.058	7.286	0.664	0.377	1.199	3.085	0.562	0.892	2.245	1.232	4.041	0.847
SLC35C2	1.268	1.469	3.792	1.712	3.102	1.327	1.643	0.232	4.029	0.34	2.806	2.821	3.019	1.103	7.547	1.938
SLC35D1	2.066	2.339	2.699	13.403	1.311	3.002	1.668	0.106	1.3	8.098	1.06	2.825	6.119	7.729	1.152	3.024
SLC35D2	1.324	1.513	10.18	12.566	3.984	1.535	1.312	12.407	6.893	11.067	3.058	1.895	13.859	3.876	7.089	2.827
SLC35D3	0.046	0	0.058	0	1.216	0	0	0.048	0.151	0	0	0	0.077	0.041	0	0
SLC35E1	1.627	3.44	4.775	3.297	3.216	0.99	1.747	1.522	3.602	1.972	5.37	3.147	3.767	1.58	13.012	2.516
SLC35E2	2.006	1.183	2.119	0.534	1.896	0.862	3.295	0.453	2.39	0	4.634	2.555	1.586	0.81	1.481	2.654
SLC35E2B	1.721	2.701	2.86	1.149	2.466	0.68	2.536	1.671	3.223	2.231	4.316	5.087	1.015	0.824	2.456	3.331
SLC35E3	0.826	1.112	2.003	1.496	0.059	1.452	1.269	1.651	0.151	1.605	1.836	2.011	1.972	1.115	2.463	1.738
SLC35E4	0.085	0.316	0.348	0.075	0.692	0.094	0.116	0	0.152	0	0.13	0.077	0.288	0.076	0.185	0.136
SLC35F1	0.577	0.435	0.168	0.079	0.019	0.02	0.061	0.094	1.172	0	0.011	0.048	0.138	0.759	0.089	0.083
SLC35F2	1.426	1.916	2.836	0.081	1.985	0.651	1.647	0.324	3.087	0.132	1.185	2.374	3.554	0.52	6.212	2.374
SLC35F3	0.372	0.069	0.071	0.066	0.064	0	0.165	0	0	0	0.038	0.121	0.021	0.302	0	0.08
SLC35F4	0.376	0.058	0	0.112	0	0	0.043	0	0	0	0	0	0	0.508	0	0
SLC35F5	3.931	6.257	19.158	5.538	8.464	3.911	2.427	0.24	5.693	8.523	7.585	8.518	15.74	3.676	12.801	7.445
SLC35G1	0.314	0.188	0.595	0.478	0	0.02	0.122	0	0.027	3.309	0.345	0.357	0.456	0.646	0.451	0.43
SLC35G2	0.261	0.487	0.298	0.279	0	0.233	0.036	0.166	0.125	0	0.134	0.36	0.296	0.235	0.193	0.335
SLC35G3	0.057	0	0.182	0	0	0.026	0.137	0	0	0	0	0	0	0.259	0.019	0.031
SLC35G4	0.106	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0
SLC35G5	0.179	0	0	0	0	0	0.276	0	0.027	0	0.138	0	0	0.161	0.12	0
SLC35G6	0	0	0	0.053	0	0	0	0	0.189	0	0	0.033	0	0.162	0.03	0
SLC36A1	0.671	1.365	2.785	0.553	1.579	0.532	0.809	0.395	0.979	0.362	2.278	0.878	1.519	0.487	2.078	1.085
SLC36A2	0.189	0	0	0.075	0	0.014	0.14	0	0.255	0	0.016	0.023	0.036	0.453	0	0.067
SLC36A3	0.325	0.017	0.114	0.043	0	0	0.074	0	0.011	0	0	0.026	0	0.325	0	0
SLC36A4	1.135	1.425	1.133	1.01	0.056	0.779	0.925	0	1.402	0.509	1.009	1.566	0.667	0.826	3.518	1.655
SLC37A1	1.044	1.136	1.497	0.805	1.271	0.59	1.248	0.074	1.514	0.135	3.411	1.664	3.169	0.439	1.6	1.634
SLC37A2	0.359	1.687	0.487	0.411	0.044	0.217	0.272	0.19	0.593	0	0.974	0.558	0.943	0.508	3.513	0.397
SLC37A3	1.886	4.078	6.275	2.276	3.871	1.233	1.333	0.929	6.048	0.126	5.623	2.627	7.027	1.581	7.214	2.516
SLC37A4	0.155	0.253	2.477	6.76	1.1	5.532	0.847	0.616	0.605	6.028	1.174	0.66	2.281	4.224	2.615	0.497
SLC38A1	7.433	5.388	15.683	1.602	12.337	2.104	10.194	0.389	9.967	2.416	29.222	18.399	16.577	1.188	16.936	22.822
SLC38A10	0.832	1.205	1.372	4.183	1.534	1.289	1.197	1.507	2.898	3.661	1.72	1.96	2.664	1.44	3.749	1.309
SLC38A11	0.421	0.224	0.228	0.214	0	0	0.226	0	1.245	0	0	0.85	4.185	0.542	0.242	0.674
SLC38A2	7.692	45.725	23.431	62.033	18.331	60.877	7.024	8.168	18.173	96.055	38.37	14.996	23.32	14.213	40.987	22.647
SLC38A3	0.219	0.02	0.444	22.229	0.321	3.445	0.09	0.372	0.356	18.425	0.023	0.032	2.682	9.762	0.015	0.047
SLC38A4	1.081	0.378	1.077	19.077	0.906	12.15	0.12	4.492	0.081	11.348	0.055	0.157	11.163	34.734	0.2	0.289
SLC38A5	0.108	0.732	0.445	0.032	0.442	0.193	0.222	3.725	1.315	0.21	0.139	0.294	0.735	0.146	4.142	0.462
SLC38A6	2.155	1.675	0.944	0.721	0.143	0.394	1.057	0.41	0.597	0	2.014	2.983	3.001	1.841	5.379	1.917
SLC38A7	0.427	0.688	1.621	0.783	0.484	0.346	0.464	0.041	0.827	3.471	1.235	0.591	1.537	1.049	4.039	0.456
SLC38A8	0.082	0	0	0	0	0	0.028	0	0	0	0	0	0	0.148	0	0.044
SLC38A9	1.214	1.358	3.182	1.193	0.581	0.278	1.611	0.037	0.78	0.135	1.762	3.531	2.767	1.093	5.273	3.202
SLC39A1	2.439	5.15	15.128	7.998	8.731	3.64	3.333	1.784	8.491	3.449	7.558	3.358	7.98	2.596	46.302	4.167
SLC39A10	2.299	1.926	3.058	0.381	2.42	0.713	1.83	0.474	4.133	0.227	2.48	4.341	5.931	0.79	5.742	3.338
SLC39A11	1.122	1.985	2.375	4.659	6.569	6.592	1.004	0.123	3.796	6.619	10.446	1.57	6.48	2.648	6.949	2.458
SLC39A12	0.383	0	0	0.045	0	0	0	0	0.311	0	0	0	0	0.691	0	0
SLC39A13	0.132	1.782	1.168	0.599	0.642	0.509	0.555	0.419	1.45	0	0.519	0.78	1.069	0.04	5.118	0.61
SLC39A14	1.32	3.228	22.856	77.507	5.943	58.079	0.576	6.32	5.087	21.864	1.678	1.103	22.366	28.945	8.069	1.387
SLC39A2	0.304	0.673	0.432	0.045	0.261	0	0.182	0	0	0	0	0.165	0.043	0.615	0.025	0.041
SLC39A3	0.164	0.318	0.104	0.356	0.27	0.231	0.251	0.548	0.425	3.392	0.728	0.385	0.386	0.196	1.675	0.247
SLC39A4	0.082	0.115	1.905	0.073	1.046	0	0.155	0.262	0.285	0	0.381	0.03	1.447	0.074	1.08	0.044
SLC39A5	0.051	0.024	2.681	5.843	2.04	2.572	0.035	0.108	0.49	2.183	0	0.055	1.386	3.999	0	0
SLC39A6	2.838	6.822	2.87	1.215	5.86	0.718	2.079	4.275	5.426	0.569	8.665	4.187	4.255	1.133	6.237	4.357
SLC39A7	2.281	5.298	13.018	6.661	5.317	5.497	2.277	6.549	13.728	7.845	8.668	3.465	7.793	2.449	38.298	3.512
SLC39A8	1.162	1.2	4.616	1.962	1.475	0.861	0.873	0.511	3.878	1.182	0.991	1.529	1.042	1.401	5.041	1.603
SLC39A9	1.971	4.327	4.471	5.802	3.684	2.67	2.045	4.607	4.212	1.663	4.123	4.749	10.773	3.483	15.523	5.31
SLC3A1	0.139	0.087	2.729	1.155	0.159	0	0.016	0	0.07	0	0.262	0.118	5.773	2.297	0.187	0.149
SLC3A2	1.333	4.371	5.799	3.904	2.99	2.675	1.494	9.439	7.9	2.591	4.875	2.43	4.738	0.938	13.746	1.734
SLC40A1	4.845	4.653	40.343	24.57	11.212	5.867	4.077	0.51	9.146	17.214	11.494	13.333	59.272	14.708	3.726	11.577
SLC41A1	1.397	2.296	1.305	1.171	1.43	1.385	1.629	0.094	2.336	0.172	9.663	2.025	3.526	0.719	4.466	2.083
SLC41A2	1.124	1.685	4.671	13.278	2.272	5.08	0.799	0.096	0.738	4.723	1.091	2.399	12.047	9	6.729	2.497
SLC41A3	0.447	0.921	1.534	0.442	0.881	0.449	0.344	0.711	2.439	0	2.928	0.851	0.865	0.672	3.091	1.055
SLC43A1	0.571	0.818	0.645	6.678	1.42	2.893	0.641	0	0.367	9.039	0.586	0.783	1.892	3.049	0.274	0.501
SLC43A2	0.323	0.268	1.657	0.362	0.478	0.192	0.245	0.152	0.689	1.116	0.442	0.494	1.177	0.291	2.902	0.383
SLC43A3	1.106	2.419	1.4	18.599	2.508	11.603	2.033	2.989	3.571	15.423	1.899	2.626	3.95	6.012	19.578	3.156
SLC44A1	2.822	10.26	16.024	4.149	11.975	3.997	2.09	3.489	12.308	8.665	6.961	5.79	17.011	2.84	19.993	7.189
SLC44A2	2.365	4.962	3.223	1.241	2.893	1.149	3.562	1.894	7.713	1.532	4.247	6.073	4.151	0.819	23.068	6.537
SLC44A3	0.877	0.39	2.432	0.52	2.998	1.174	0.128	0.044	1.968	0	1.844	0.257	4.231	0.79	1.458	0.29
SLC44A4	0.353	0.073	11.299	0	8.012	0.018	0.335	3.573	7.348	0.305	1.047	0.1	10.569	0.247	1.752	0.084
SLC44A5	0.994	1.83	3.822	0.197	0.372	0	0.157	0	0.222	0	1.7	1.043	1.687	1.056	1.223	1.034
SLC45A1	0.09	0.042	0.028	0	0	0	0.061	0.237	0	0	0.023	0.016	0	0.121	0.09	0.048
SLC45A2	0.214	0	0.226	0.169	0	0	0.049	0	0.182	0	0.037	0.013	0.04	0.643	0	0
SLC45A3	0.159	0.252	0.564	1.775	2.49	0.355	0.261	0.404	0.411	1.485	0.555	0.311	1.297	1.118	1.068	0.255
SLC45A4	0.319	0.074	0.504	0.038	0.699	0	0.207	0.236	1.081	0.124	0.556	0.358	1.028	0.086	0.46	0.306
SLC46A1	0.448	0.317	1.113	2.273	0.684	1.117	0.255	1.019	0.478	4.191	0.638	0.505	0.863	1.359	1.425	0.46
SLC46A2	0.043	0.04	0.027	0.077	0	0.154	0.059	0	0.077	0.167	0.022	0.016	0	0.271	0.014	0
SLC46A3	2.156	0.54	5.295	7.349	1.107	0.933	1.495	0.068	2.259	8.132	2.23	3.486	3.623	3.101	4.839	3.178
SLC47A1	0.394	1.317	0.312	8.548	0.381	2.474	0.449	2.815	0.108	2.68	0.371	0.392	2.359	6.682	0.507	0.35
SLC47A2	0.225	0.314	0	0	0	0	0	0.048	0	0	0	0	0.025	0.283	0.09	0.096
SLC48A1	0.71	1.373	1.549	1.663	1.174	0.854	0.63	0.038	2.842	0.138	2.294	0.836	1.285	0.447	1.417	0.928
SLC4A1	0.174	0.041	0.206	0.103	0.215	0.029	0.097	0	0.306	0	0.97	0.039	0.025	0.157	0.022	0.012
SLC4A10	0.482	0.008653	0.059	0.176	0.016	0.008276	0.171	0	0.017	0	0	0.034	0.094	0.852	0	0.059
SLC4A11	0.152	0.61	0.116	0	0.288	0	0.125	0.129	0.055	0	0.531	0.276	0.155	0	0.98	0.276
SLC4A1AP	1.993	2.789	3.073	1.698	5.499	2.263	1.696	0.345	5.264	0	4.595	2.863	3.199	1.469	6.29	2.631
SLC4A2	0.523	0.854	1.962	2.05	1.638	0.525	0.498	0.989	1.682	1.235	0.978	0.521	3.393	0.589	5.65	0.728
SLC4A3	0.125	0.198	0.079	0.015	0.29	0.011	0.094	0.927	0.023	0	0.591	0.054	0.057	0.045	0.412	0.16
SLC4A4	0.659	0.094	0.544	3.739	0.052	1.486	0.124	0.669	0.302	0.627	0.083	0.151	3.581	2.009	0.05	0.1
SLC4A5	0.471	0.196	0.213	0.08	0.152	0.015	0.581	1.283	0.162	0	0.164	0.451	0.124	0.243	0.04	0.611
SLC4A7	2.859	4.861	2.871	0.778	0.998	2.228	2.934	0.569	2.975	5.251	5.734	6.661	2.849	1.169	7.646	9.064
SLC4A8	0.845	0.085	0.823	0.064	0.395	0.185	1.029	0.018	0.214	0	0.127	0.483	0.103	0.671	0.203	0.415
SLC4A9	0.127	0	0	0.056	0	0	0.022	0.067	0	0	0.065	0	0.018	0.114	0.117	0.034
SLC50A1	1.202	1.607	5.275	2.805	6.58	0.322	3.915	0.17	4.738	7.79	6.047	2.033	2.812	1.011	12.457	1.583
SLC51A	0.296	0	0.14	13.955	0	2.574	0.152	0.078	0.067	14.957	0.038	0.027	0.795	2.066	0.05	0
SLC51B	0.344	0	0.652	1.087	1.28	0	0.156	0	0	1.336	0	0.041	0.194	0.103	0	0
SLC52A1	0.045	0.042	0.056	0	0	0	0.076	0	0	0	0.343	0.016	0.025	0.08	0.015	0
SLC52A2	0.387	0.49	1.68	0.394	0.452	0.148	0.359	0.176	2.224	0.215	0.88	0.301	1.033	0.05	3.936	0.177
SLC52A3	0.12	0.149	1.592	0.047	0.91	0.018	0	0.55	1.079	0.155	0.902	0.101	0.678	0.18	1.542	0.128
SLC5A1	0.802	1.352	1.925	0.11	6.186	0.009169	0.372	0.022	2.06	0.48	0.011	0.142	3.269	0.796	0.006901	0.384
SLC5A10	0.151	0.094	0.032	0.149	0.022	0	0.052	0	0.03	0	0	0.018	0.028	0.181	0.051	0
SLC5A11	0.258	0	0.027	0.127	0	0.019	0.073	0.045	0.168	0	0	0	0.049	0.426	0.101	0.046
SLC5A12	0.448	0.008027	0.12	0.153	0.148	0	0.165	0	0.021	0	0.698	0.025	0.224	0.713	0.179	0.009189
SLC5A2	0.047	0.044	0.03	0.056	0.02	0.084	0	0.05	0.028	0	0.17	0.051	0.054	0	0.238	0.025
SLC5A3	0.009299	0.008672	0.041	0	0	0	0	0.009846	0.073	0	0.004773	0.003369	0.021	0	0.006243	0.009927
SLC5A4	0.426	0.099	0.169	0.095	0.527	0	0.091	0.169	0	0	0.109	0.154	0.06	0.672	0	0.085
SLC5A5	0.12	0	0.019	0.036	0.142	0	0.103	0	0.235	0	0.031	0.044	0	0.163	0.192	0.032
SLC5A6	1.092	0.88	2.199	4.378	1.935	1.978	1.119	3.154	1.748	2.831	2.056	1.439	2.154	2.325	6.044	1.961
SLC5A7	0.419	0.078	0.026	0.025	0	0	0.036	0	0	0	0.419	0.007586	0.047	0.396	0	0.022
SLC5A8	0.622	0	0.104	0.097	0	0.029	0.09	0.52	0.265	0	0	0.024	0.019	0.826	0	0.087
SLC5A9	0.197	0.061	1.54	1.073	0.141	0.367	0.112	0	0.276	0.383	0	0.012	0.205	0.503	0	0
SLC6A1	0.24	0.168	0.485	10.216	0.669	1.41	0.139	3.779	0.503	3.352	0.025	0.139	1.653	5.436	0.145	0.115
SLC6A11	0.108	0.429	0	0	0	0	0.055	0	0.065	0	0.805	0.118	0	0.195	0	0.029
SLC6A12	0.19	0.063	0.395	4.325	0.023	1.886	0.056	0.057	0.317	5.902	0.083	0.029	0.69	2.441	0.109	0
SLC6A13	0.279	0	0.044	0.992	0.27	0.342	0.012	0	0	0	0.018	0.025	0.079	0.691	0	0.019
SLC6A14	0.472	5.301	0.06	0.084	0.375	0	0.089	0	0.361	0	0.036	0.325	0.08	0.404	0.024	0.378
SLC6A15	0.412	0.134	0.017	0.057	0.124	0.006121	0.042	0	0.004118	0	0.007044	0.094	0.023	0.569	0	0.117
SLC6A16	0.953	0.615	0.232	0.587	0.693	1.831	1.152	0.116	0.011	0	1.091	1.541	0.228	0.528	0.111	0.685
SLC6A17	0.134	0.063	0.032	0.02	0.022	0.007498	0.04	0	0.096	0	0	0.012	0	0.106	0.011	0.008974
SLC6A18	0	0	0	0	0.131	0	0	0	0	0	0	0	0	0.091	0	0
SLC6A19	0	0	0.013	0	0	0	0.007107	0	0	0	0	0	0.141	0.094	0	0
SLC6A2	0.04	0.226	0.013	0.048	0	0	0.034	0.128	0.006054	0	0.01	0	0.011	0.345	0.603	0.011
SLC6A20	0.218	0.028	3.988	0.153	0.179	0.044	0.074	0	0.559	1.002	0	0.022	1.233	0.303	0.006652	0.042
SLC6A3	0.082	0	0.052	0	0	0	0.047	0.116	0	0	0.028	0	0.015	0.099	0	0.015
SLC6A4	0.19	0.1	0.18	0.028	0	0.021	0.073	0	0.007122	0	0.012	0.12	0.013	0.299	0	0.076
SLC6A5	0.226	0	0	0.045	0	0.017	0.039	0	0.181	0	0	0	0.043	0.61	0	0
SLC6A6	2.112	3.013	8.901	0.817	8.023	1.94	2.934	1.69	8.845	0.243	2.859	2.987	6.639	0.465	12.704	3.057
SLC6A7	0.086	0.013	0.291	0	1.584	0.026	0.039	0.03	0.095	0.112	0	0.01	0.033	0	0.009664	0
SLC6A8	0.383	1.456	5.257	0.14	2.988	0.67	0.181	2.838	1.812	0.458	0.363	0.502	5.317	0.159	1.612	0.409
SLC6A9	0.087	1.455	0.59	0.104	0.213	0	0.139	0.123	0.219	0	0.195	0.116	0.148	0.079	0.969	0.171
SLC7A1	1.261	6.973	6.011	1.174	6.074	1.536	1.372	0.404	2.349	0.912	2.174	2.762	4.33	0.383	15.323	2.7
SLC7A10	0	0	0.105	0	0	0	0	0	0	0	0.028	0	0	0.05	0	0
SLC7A11	0.625	0.89	0.925	0.113	0.676	0.119	0.328	0.012	0.345	0	0.372	0.542	4.261	0.462	0.614	0.542
SLC7A13	0.519	0	0	0.034	0	0	0.02	0.061	0	0	0	0	0.065	0.468	0	0
SLC7A14	0.266	0	0.02	0.038	0.032	0	0.029	0.112	0.006375	0	0	0.003849	0.03	0.402	0.003566	0
SLC7A2	1.247	1.758	2.272	26.031	2.015	18.039	0.398	3.497	1.867	11.563	0.183	1.251	9.197	27.058	0.639	1.653
SLC7A3	0.095	0.022	0.03	0.056	0	0.042	0.097	0	0	0	0	0	0.027	0.342	0	0
SLC7A4	0	0.022	0.029	0.028	0.2	0	0.016	0	0.042	0	0.072	0.034	0	0	0	0
SLC7A5	0.379	4.044	2.759	0.197	0.672	0.592	0.526	0.326	0.675	0.092	4.037	0.738	2.051	0.128	5.456	1.164
SLC7A6	3.15	2.219	3.676	0.442	3.509	1.518	5.351	0.359	1.738	0.593	2.164	5.909	1.725	0.412	3.184	6.346
SLC7A6OS	1.189	1.571	1.714	0.353	1.307	1.768	2.28	2.309	3.073	0.514	3.493	3.424	1.159	0.476	4.237	2.469
SLC7A7	0.598	0.408	1.688	0.655	0.751	0	1.288	0	0.704	1.61	2.385	2.683	3.306	1.284	9.111	1.964
SLC7A8	0.524	2.499	4.372	0.527	1.441	0.824	0.389	0.097	2.388	0.532	1.966	0.611	0.929	0.596	1.125	0.718
SLC7A9	0.121	0	0	1.037	0	0.538	0.041	0	0	0	0.031	0	0.819	1.195	0	0.032
SLC8A1	1.241	1.937	1.669	1.534	1.408	2.176	1.301	0.037	3.28	2.212	2.504	1.605	2.341	1.071	6.354	1.877
SLC8A2	0.084	0.029	0.027	0.012	0.127	0	0.029	0	0.006319	0.082	0.054	0.007631	0	0.152	0	0
SLC8A3	0.345	0.063	0.024	0.068	0.025	0.162	0.059	0.203	0.012	0	0	0.076	0.011	0.259	0	0.01
SLC9A1	0.704	1.948	1.192	0.296	0.302	0.486	0.837	1.37	1.301	0.883	2.132	0.822	1.85	0.143	2.987	0.775
SLC9A2	0.811	0.065	2.015	0.023	0.663	0	0.27	0.67	0.303	0	1.056	0.573	1.365	0.356	0.146	1.668
SLC9A3	0.039	0.217	6.353	0	0.217	0.017	0.079	0.41	6.385	0	0.02	0.084	0	0.035	0	0.083
SLC9A3R1	2.296	8.69	4.866	12.32	4.567	8.359	3.101	3.844	4.037	11.832	3.919	4.333	7.039	2.26	5.395	3.591
SLC9A3R2	0.592	1.551	1.067	8.268	4.131	7.213	0.405	1.543	3.349	5.313	0.397	0.38	2.139	3.487	4.74	0.705
SLC9A4	0.312	0.049	0.082	0.093	0	0.058	0.151	0	0	0	0.12	0.094	0.044	0.445	0.017	0.153
SLC9A5	0.173	0.148	0.018	0.085	0.025	0	0.167	0	0.277	0	0.059	0.063	0.033	0.26	0.193	0.092
