Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
RIMBP3	0	0.075	0	0	0	0.09	0	0.055	0	0.019	0	0.069	0.057	0.173	0.084	0
RIMBP3B	0	0.013	0	0.021	0	0.041	0.047	0.038	0	0	0	0.025	0	0.028	0.009462	0.025
RIMBP3C	0.037	0.013	0	0.01	0	0.021	0	0.016	0	0.029	0	0.02	0	0.019	0.004423	0
RIMKLA	0	0.221	0	0.005504	0	0.042	0.024	0.062	0	0.103	0.051	0.136	0.094	0.471	0.933	0.078
RIMKLB	0.148	2.488	0.218	1.008	0.356	3.731	0.966	2.296	0.449	0.735	0.993	2.272	0.571	1.596	2.674	1.036
RIMS1	0	0.008048	0	0	0	0.033	0	0.01	0	0	0	0.029	0	0.03	0.092	0.015
RIMS2	0.089	0.529	0	3.289	0.071	1.734	0.955	0.811	0.684	0.587	0.198	0.241	0.137	0.288	1.506	0.188
RIMS3	0	0.232	0	0.056	0	0.386	0.174	0.431	0.132	0.69	0.075	0.463	0.069	0.294	0.333	0.057
RIMS4	0	0	0	0	0	0	0	0.003578	0	0	0	0.01	0	0.00962	1.267	0.053
RIN1	0	1.521	0	0.39	0	0.539	0.344	0.757	0	0.96	0	0.426	0.186	0.646	0.315	0.153
RIN2	1.531	19.217	0.677	3.459	1.611	20.756	6.62	15.373	2.007	9.992	2.57	13.332	1.662	11.47	11.678	3.533
RIN3	0.056	0.985	0	0.559	0.269	1.353	0.546	0.625	0.309	0.357	0.188	1.251	0.303	0.536	0.739	0.392
RING1	0.372	7.509	0.878	1.54	1.094	7.263	2.031	6.038	1.096	7.074	1.666	4.611	1.819	5.537	4.388	1.264
RINL	0.07	0.548	0.083	0.133	0.056	0.755	0.22	0.59	0	0.091	0.355	1.329	0.489	1.116	0.285	0
RINT1	0.072	3.724	0	1.759	0.349	6.072	1.864	5.167	0.56	6.041	0.669	6.354	0.951	7.986	7.904	0.692
RIOK1	0.251	7.098	0.395	1.489	0.469	6.019	2.543	4.989	0.554	5.203	1.123	6.111	1.42	7.465	6.061	1.331
RIOK2	0.276	2.802	0.163	0.683	0.332	2.24	0.915	3.836	0.305	2.798	0.773	2.47	0.284	3.422	2.969	0.498
RIOK3	1.55	18.176	1.072	6.286	0.985	20.554	10.478	24.192	2.183	22.953	3.588	12.62	2.681	17.432	9.734	1.905
RIPK1	0.726	9.472	0.395	2.725	0.761	12.584	4.981	10.121	1.232	10.176	1.967	8.007	1.464	7.611	7.013	1.208
RIPK2	0.25	2.933	0	1.08	0.334	4.821	1.366	4.975	0.46	8.83	0.14	3.153	0.966	8.519	3.932	0.743
RIPK3	0	1.822	0.132	1.06	0.09	2.564	1.575	4.822	0.867	6.079	0.377	2.058	0.26	1.805	1.001	0.214
RIPK4	0.613	11.937	0.328	2.584	0.759	7.538	6.512	17.836	1.967	45.06	1.215	5.163	1.204	6.159	11.177	1.666
RIPPLY1	0	0	0	0.049	0	0.017	0	0	0	0.024	0	0	0	0.068	0	0
RIPPLY2	0	0.11	0	0	0	0	0	0.168	0	0.084	0	0.221	0.251	0.543	0.232	0
RIT1	1.549	13.55	0.731	3.326	0.795	11.809	9.417	18.795	1.231	12.888	3.587	13.709	2.152	12.558	9.585	2.8
RIT2	0	0	0	0	0	0	0	0	0	0	0	0.009596	0	0.064	0	0
RLBP1	0	0	0	0	0	0.011	0	0.011	0	0	0	0.005987	0	0.029	0.059	0
RLF	0.518	5.412	0.366	1.694	0.249	6.918	3.335	6.836	0.343	5.96	1.187	7.134	1.118	7.78	9.25	1.098
RLIM	0.71	8.622	0.479	1.461	0.797	11.526	3.021	7.016	0.739	7.211	1.43	6.171	1.519	9.655	11.929	2.467
RLN1	0	0	0	0	0	0.291	0	0	0	0.058	0	0.043	0	0.104	0.066	0
RLN2	0	0.328	0	0	0	0.158	0.095	0.168	0	0.315	0	0.177	0	0.158	0.101	0
RLTPR	0.048	0.244	0	0.156	0.039	0.534	0.019	0.096	0	0.019	0	0.356	0.037	0.105	0.109	0.092
RMI1	0.062	0.772	0.218	0.266	0.198	1.748	0.673	1.072	0.068	1.37	0.052	1.272	0.238	2.334	3.311	0.196
RMI2	0	1.986	0	0.325	0.604	2.513	0.763	1.744	0.166	3.11	0.253	1.428	0.93	5.53	3.061	0.863
RMND1	0.226	5.227	0	1.796	0.09	6.542	2.375	7.657	0.374	5.554	0.947	5.461	0.784	8.776	3.676	0.503
RMND5A	0.802	11.803	0.453	1.28	0.587	9.347	4.54	11.13	0.808	10.359	2.078	8.714	1.669	12.811	15.962	3.13
RMND5B	0.596	3.105	0.422	1.48	0.382	1.823	1.534	4.361	0.263	4.384	0.5	3.649	0.184	2.273	8.338	1.139
RNASE1	0.889	3.833	0.525	1.979	1.069	11.563	1.04	10.646	0.491	6.409	2.239	6.682	1.029	7.874	5.92	2.406
RNASE10	0	0	0	0	0	0.216	0	0	0	0.215	0	0.016	0	0.108	0.138	0
RNASE11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0.029	0
RNASE12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.017	0
RNASE13	0	0	0	0	0.108	0	0	0	0	0	0	0.006527	0	0.025	0.007977	0
RNASE2	0	0.298	0	0	0.47	0.41	0	0.178	0	0	0	0.086	0	0.123	0.052	0
RNASE3	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0.014	0	0
RNASE4	0.114	2.927	0.134	0.43	0	2.506	0.488	2.363	0	2.559	0.287	1.562	0	1.477	0.894	0.29
RNASE6	0.203	0.344	0	0.219	0	2.577	0	1.212	0	0.211	0.171	1.325	0.157	0.605	0.689	0.388
RNASE7	0	1.46	0	0	0	0.148	0.056	0.236	0	0.037	0.362	8.017	0	0.147	0.479	0
RNASE8	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0
RNASE9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.031	0
RNASEH1	0.262	9.423	0	1.518	1.049	7.562	3.621	7.974	1.156	7.749	1.867	6.116	2.222	8.303	10.345	1.999
RNASEH2A	0.378	3.639	0	0.56	1.06	5.439	0.736	3.379	0.417	9.123	0.634	2.755	1.166	6.688	9.833	1.082
RNASEH2B	0.1	3.615	0	0.62	0.401	5.756	3.895	10.028	0.772	9.59	0.839	5.954	0.848	7.869	3.926	0.827
RNASEH2C	0.542	1.911	0.091	0.919	0.124	2.122	0.936	2.885	0.256	2.926	0.65	1.902	0.239	3.301	1.726	0.148
RNASEK	0.266	4.674	0.314	0.717	1.279	9.071	3.005	5.884	0.294	9.116	1.339	7.449	0.616	6.86	4.031	1.016
RNASEL	0.509	4.143	0.36	1.248	0.245	3.498	4.677	9.318	0.674	7.198	1.109	4.662	0.863	4.455	8.273	1.683
RNASET2	0.69	25.779	1.628	7.633	2.074	22.465	27.299	70.354	1.523	29.081	16.07	68.703	6.657	39.101	15.875	3.185
RND1	0	0.307	0	0.035	0	0.302	0.101	0.358	0	0.151	0	0.523	0	0.211	0.654	0.165
RND2	0	0.088	0	0	0	0.053	0.02	0.036	0	0.101	0	0.033	0	0.126	0.232	0.033
RND3	1.46	13.298	0.363	3.42	3.203	31.415	6.378	18.022	1.696	15.035	2.514	12.293	1.72	10.017	14.472	3.13
RNF10	0.953	16.791	0.86	4.869	1.348	21.517	6.817	18.204	1.733	22.99	2.916	14.543	2.336	19.191	23.768	3.996
RNF103	0	2.146	0.05	0.354	0.136	3.006	0.957	5.201	0.187	5.644	0.284	2.208	0.49	2.341	1.902	0.135
RNF103-CHMP3	1.279	12.19	0.603	2.742	1.128	12.944	6.005	14.91	1.411	7.223	2.575	9.45	2.319	15.456	18.204	2.889
RNF11	1.263	11.906	0.579	2.82	1.35	25.933	10.745	33.763	2.555	28.588	4.297	15.903	2.491	24.884	25.041	3.528
RNF111	0.278	3.602	0.246	2.472	0.417	5.429	3.368	5.517	0.996	4.102	1.573	5.762	1.045	6.37	5.451	1.016
RNF112	0	0.023	0	0.018	0	0.087	0	0.023	0	0.043	0	0.026	0	0.053	0.048	0.043
RNF113A	0	2.923	0.196	0.807	0.267	5.595	1.426	4.053	0.367	7.449	0.698	2.669	0.513	3.501	4.102	0.635
RNF113B	0	0	0	0.127	0	0.015	0	0	0	0.061	0	0.023	0	0.051	0.074	0
RNF114	0.437	7.122	1.031	2.358	0.911	17.013	4.838	12.837	0.675	13.27	2.201	8.886	1.012	7.891	19.698	3.227
RNF115	0.901	9.184	0.304	3.23	0.413	9.696	4.516	9.871	0.995	8.427	1.945	9.374	1.888	11.34	7.576	1.803
RNF121	0.91	12.869	0.195	2.344	0.531	6.171	1.871	5.736	0.913	4.739	1.667	3.968	1.788	6.185	3.851	1.58
RNF122	0	0.312	0	0.218	0	0.603	0.135	0.299	0	0.165	0.291	0.865	0	1.025	1.187	0.22
RNF123	0.1	2.92	0.178	1.788	0.322	3.098	1.213	4.149	0.333	4.18	0.632	3.021	0.349	3.27	3.635	0.991
RNF125	0.073	0.594	0.043	0.119	0.147	1.212	0.343	0.526	0	0.219	0.092	0.727	0.028	0.415	0.496	0.303
RNF126	0.261	3.491	0	0.952	0.105	2.546	1.885	3.242	0.144	5.38	0.439	1.875	0.908	3.268	3.061	0.25
RNF128	1.075	27.764	0.373	3.019	0.659	8.503	12.641	23.312	2.582	37.899	4.509	14.35	5.806	49.179	43.724	6.036
RNF13	0.218	5.409	0.772	2.237	1.108	15.233	6.548	24.895	0.883	21.242	0.854	10.878	1.01	12.428	13.16	2.176
RNF130	0.35	6.513	0.138	0.504	0.281	6.911	2.366	11.828	0.129	17.301	1.568	8.842	0.36	7.392	13.971	1.932
RNF135	0.389	3.153	0.458	1.31	0.467	3.486	2.953	7.036	0.214	8.528	0.652	4.12	1.125	4.511	4.463	0.495
RNF138	0	1.453	0.278	0.794	0.33	7.993	1.032	3.902	0.13	3.256	0.642	2.502	0.182	4.254	2.449	0.337
RNF139	0.13	3.016	0.307	1.212	0.313	9.862	3.274	14.014	0.934	12.447	1.147	4.975	1.005	8.462	21.167	1.616
RNF14	0.524	4.255	0.225	1.569	0.573	5.515	3.438	10.509	0.789	11.065	1.32	6.716	0.883	9.226	10.398	1.396
RNF141	1.056	6.23	0.436	1.282	0.593	17.177	3.684	13.295	0.583	8.496	1.329	3.4	0.774	6.072	6.293	0.571
RNF144A	0.15	1.029	0.133	0.111	0.09	2.549	0.922	2.257	0.415	4.947	0.631	2.745	0.493	3.931	5.427	1.1
RNF144B	0.428	3.286	0.051	1.814	0.79	8.458	1.168	5.089	0.189	2.541	0.539	2.172	0.496	1.399	1.25	0.218
RNF145	1.05	3.415	1.003	1.794	0.882	10.213	5.477	16.383	0.938	12.301	3.693	14.913	2.779	17.044	16.552	2.642
RNF146	0.371	6.288	0.699	1.619	0.297	7.135	4.997	8.615	1.309	7.815	2.487	7.544	1.43	8.188	7.317	1.415
RNF149	2.543	22.525	0.943	4.861	1.165	18.035	7.929	25.586	1.764	20.542	3.231	15.531	1.851	21.183	44.714	7.77
RNF150	0.046	0.297	0	0.087	0.074	0.47	0.018	0.18	0	0.102	0.078	0.441	0.071	0.716	0.514	0.177
RNF151	0	0	0	0.146	0	0.025	0	0.094	0	0	0	0.026	0	0.013	0.097	0
RNF152	0.119	1.414	0.282	0.774	0.096	1.414	1.723	3.191	0.396	4.375	0.602	2.644	0.738	2.804	3.288	0.608
RNF157	0	0.194	0	0.048	0	0.218	0.017	0.156	0	0.149	0.185	0.208	0	0.254	4.185	0.365
RNF165	0	0.18	0.048	0.044	0.033	0.316	0	0.003533	0	0	0.137	0.219	0.063	0.11	0.26	0.13
RNF166	0	2.098	0.188	0.365	0.064	2.21	0.403	1.203	0.088	1.002	0.601	1.393	0.246	0.998	1.258	0.456
RNF167	0.126	6.104	0.149	2.657	1.215	15.617	2.805	8.49	0.557	9.395	1.589	7.885	1.657	11.162	8.871	1.447
RNF168	0.807	9.408	0.476	1.708	0.647	5.816	2.672	4.772	1.291	5.777	1.828	4.508	1.152	7.184	10.894	2.079
RNF169	0.882	12.721	0.358	1.874	0.773	8.654	4.222	6.717	0.974	6.569	1.388	5.957	2.447	11.242	5.422	1.228
RNF17	0	0.029	0	0.011	0	0.039	0	0	0	0	0	0.027	0	0.047	0.1	0
RNF170	0.236	1.157	0.046	0.69	0.41	3.254	1.012	2.323	0.217	1.83	0.561	2.465	0.607	3.289	4.512	1.102
RNF175	0	0	0	0.074	0	0.051	0	0.083	0	0	0	0	0	0.019	0.131	0.087
RNF180	0.085	1.34	0.201	0.483	0.034	1.494	0.781	1.404	0.094	0.432	0.179	1.325	0.296	0.767	0.793	0.109
RNF181	0.301	5.804	0.355	1.95	0.966	9.433	4.93	16.948	0.665	21.786	3.033	9.346	1.627	12.362	20.929	2.876
RNF182	0	0.058	0.067	0.061	0	0.048	0.133	0.118	0	0.044	0.048	0.348	0.395	2.851	0.776	0.253
RNF183	0	0.422	0	0.144	0	0.083	0	0.246	0	0.046	0.15	0.078	0	0.091	0.032	0
RNF185	0.336	2.134	0.238	0.797	0.269	4.887	1.806	4.95	0.222	4.447	0.282	3.448	0.622	3.729	5.005	1.282
RNF186	0	0	0	0	0	0	0	0.045	0	0	0	0.017	0	0.136	0.051	0
RNF187	1.239	13.869	0.731	1.968	1.159	7.635	5.768	10.905	0.988	11.817	2.772	9.143	2.816	10.629	15.515	3.198
RNF19A	1.075	19.004	1.047	8.635	1.236	20.649	17.903	37.704	5.106	37.557	4.509	21.384	5.878	30.1	33.292	4.372
RNF19B	0.662	7.833	0.293	1.607	0.663	8.77	2.709	6.151	0.639	8.479	1.458	5.92	1.15	6.527	8.195	1.844
RNF2	0.425	7.781	0	0.868	0.341	5.406	5.207	11.559	0.737	9.653	1.376	8.483	0.891	12.68	12.288	1.546
RNF20	0.438	6.495	0.387	1.063	0.702	5.867	2.325	6.827	0.785	6.006	1.01	5.263	0.507	5.35	7.769	1.951
RNF207	0.163	1.652	0.512	3.326	0.435	2.394	1.333	2.962	0.18	1.276	0.729	2.089	0.629	1.969	1.879	0.968
RNF208	0	0.068	0	0	0	0.075	0.078	0.035	0	0.26	0	0.37	0	0.326	0.321	0.255
RNF212	0	0.047	0	0	0	0.104	0	0.006019	0	0.009043	0	0.207	0.054	0.055	0.066	0
RNF213	1.486	18.166	1.94	16.719	3.217	28.659	12.865	26.191	2.984	11.84	6.946	24.216	2.294	8.112	35.818	5.257
RNF214	0.158	4.187	0.186	1.255	0.569	3.022	2.429	5.25	1.045	4.333	1.324	5.405	1.339	6.369	3.807	1.607
RNF215	0.224	1.328	0.132	0.575	0	1.935	1.006	2.473	0.372	3.089	0.565	1.288	0.26	1.283	1.541	0.429
RNF216	0.442	5.982	0.565	2.029	0.916	8.002	4.052	7.335	1.302	9.043	1.732	7.934	2.077	8.542	7.113	1.596
RNF217	0.242	3.147	0.428	1.109	0.097	3.606	1.837	1.922	0.534	2.433	0.304	2.446	0.28	0.23	1.121	0.539
RNF219	0.122	2.847	0.072	1.086	0.245	7.212	2.331	6.145	0.539	6.054	1.229	4.455	0.612	6.796	4.581	0.621
RNF220	0.143	4.432	0.085	0.87	0.632	3.78	1.201	4.966	0.316	5.303	0.661	2.683	0.553	3.207	2.904	0.593
RNF222	0	0.024	0	0.019	0	0.013	0.027	0.012	0	0.046	0	0.038	0.054	0.033	0.059	0.045
RNF223	0	0.195	0	0.156	0	0.09	0	0.615	0	0.324	0.161	0.252	0	0.241	2.593	0.612
RNF224	0	0	0	0.077	0	0	0.056	0.062	0	0	0	0.028	0	0.073	0.017	0
RNF24	0.242	3.071	0.143	0.866	0.437	4.837	0.496	1.56	0.201	2.084	0.559	2.663	0.467	2.151	2.959	0.463
RNF25	0.553	3.876	0	0.932	0.443	4.97	1.292	4.86	0.457	6.279	0.58	3.232	0.96	3.898	3.318	0.967
RNF26	0.383	1.942	0	0.186	0.368	1.857	0.776	2.496	0.085	1.92	0.514	1.941	0.828	3.098	3.807	0.731
RNF31	0.303	6.499	0.215	1.603	0.535	5.07	1.655	7.066	0.536	5.521	1.12	4.262	0.889	5.235	5.104	0.965
RNF32	0	0.243	0	0.028	0	0.125	0.32	0.435	0	0.441	0	0.215	0.079	0.248	0.153	0.131
RNF34	0.825	8.193	0.73	2.727	0.827	13.247	3.256	11.054	0.911	15.617	2.51	9.38	1.592	11.098	11.317	1.379
RNF38	0.31	2.582	0.274	0.68	0.218	4.091	3.702	8.043	0.685	7.296	1.236	3.868	0.958	8.791	5.799	1.505
RNF39	0	1.277	0.234	0.349	0	1.093	0.62	1.057	0.11	2.091	0	0.189	0	0.614	0.862	0.127
RNF4	0.235	6.231	0.277	1.409	0.565	9.142	2.402	11.106	1.425	18.241	1.231	5.515	1.314	7.691	9.016	1.569
RNF40	0.466	8.491	0.507	1.943	0.546	6.332	2.178	7.243	0.593	6.649	1.142	5.552	0.968	6.555	9.956	1.231
RNF41	0.194	2.029	0.228	0.951	0.186	3.133	1.524	3.936	0.427	4.445	0.52	2.61	0.538	3.388	4.882	0.739
RNF43	0	1.024	0	0.804	0.19	2.346	0.811	1.35	0.209	0.356	0.278	0.886	0.183	0.319	1.6	0.542
RNF44	0.312	4.494	0.49	1.261	0.416	2.328	3.016	5.624	0.745	4.977	1.656	4.536	1.042	2.843	7.238	2.545
RNF5	0.379	3.655	0.447	0.819	0.304	5.728	1.996	7.787	0.837	6.01	0.318	3.994	0.586	5.836	7.091	0.362
RNF6	1.369	20.29	0.711	2.674	1.712	16.155	8.26	20.344	2.237	18.184	2.941	10.15	1.733	13.035	11.517	1.987
RNF7	0.431	6.522	0	0.814	0.518	11.09	3.276	10.899	1.546	11.7	1.628	6.295	1.664	11.381	11.813	2.401
RNF8	0.191	2.175	0.09	0.537	0.491	2.574	1.388	2.873	0.211	3.377	0.418	1.803	0.325	2.604	1.719	0.609
RNFT1	0	0.904	0.252	0.837	0.086	4.935	0.709	4.355	0.236	7.321	0.539	3.226	0.413	3.023	8.374	0.681
RNFT2	0.074	0.277	0	0	0.119	0.368	0.058	0.122	0.082	0.242	0.062	1.234	0.057	0.463	2.088	0.142
RNGTT	0.242	4.427	0.399	1.512	0.387	5.508	1.714	3.926	0.693	3.583	0.73	4.67	0.97	5.979	4.696	0.554
RNH1	0.488	7.69	0.576	2.607	1.017	16.77	1.826	16.918	0.539	15.581	0.901	5.237	0.603	6.462	13.851	1.181
RNLS	0	0.895	0	0.097	0.048	0.521	0.188	1.232	0	1.211	0.101	0.489	0.139	0.752	0.093	0
RNMT	0.209	5.841	0.082	1.707	0.502	7.077	3.686	6.65	0.806	5.747	1.459	6.456	0.724	4.984	3.461	0.863
RNMTL1	0.12	1.012	0	0.84	0.576	3.147	0.793	1.853	0	2.208	0.301	2.405	0.554	3.351	2.142	0.686
RNPC3	0.457	8.191	0.944	8.201	0.825	8.309	5.167	10.876	1.009	5.58	2.493	11.25	2.293	8.181	5.564	1.455
RNPEP	0.447	10.484	0.105	2.073	1.218	7.231	6.27	21.027	1.184	16.028	1.575	9.228	1.931	16.243	21.664	2.446
RNPEPL1	0.143	6.957	0.084	1.484	0.63	5.362	1.225	6.627	0.552	8.296	0.899	3.875	0.717	4.753	3.487	0.591
RNPS1	0.967	17.03	0.207	4.032	1.762	15.864	5.037	19.111	1.359	24.478	1.918	12.344	3.325	22.978	24.749	3.637
ROBO1	0.382	1.707	1.771	3.424	1.553	32.307	0.84	2.678	0.633	0.766	1.42	7.252	0.295	1.923	4.084	1.199
ROBO2	0.024	0.321	0	0.019	0.152	0.875	0.102	1.043	0	0.13	0.12	1.566	0.128	0.936	1.34	0.242
ROBO3	0.047	0.048	0.056	0.013	0	0.177	0.203	0.454	0.052	0.264	0.119	0.288	0.037	0.302	0.324	0.09
ROBO4	0.056	0.95	0.066	0.258	0.135	0.702	0.219	0.714	0.062	0.562	0.094	1.257	0.043	1.455	0.671	0.143
ROCK1	1.394	24.755	0.574	3.928	1.586	19.708	9.568	14.985	2.506	11.48	4.599	19.004	4.029	20.051	8.318	3.22
ROCK2	1.112	20.456	1.073	5.517	1.323	17.541	9.835	20.591	3.161	19.102	3.817	18.106	3.198	21.819	20.052	5.082
ROGDI	0.248	1.591	0.146	0.802	0.397	2.817	1.159	2.784	0.273	2.413	0.312	1.741	0.574	2.706	3.38	0.71
ROM1	0	0.233	0	0.124	0.092	0.375	0.358	0.486	0	0.194	0.385	0.229	0.177	0.475	0.246	0.073
ROMO1	0	8.54	0.552	1.514	2.625	23.24	2.188	18.519	1.033	29.889	0.785	8.987	1.083	16.134	13.514	1.489
ROPN1	0	0	0	0	0	0	0	0	0	0	0	0.0095	0	0.127	0.058	0
ROPN1B	0	0	0	0	0	0.08	0	0.205	0	0.028	0	0.01	0	0.12	0.525	0.137
ROPN1L	0	0	0	0	0	0.131	0	0.052	0	0	0	0.068	0	0.056	0.131	0
ROR1	0	0.155	0	0.018	0	0.153	0.179	0.826	0.036	0.183	0.055	0.32	0.025	0.253	0.208	0.146
ROR2	0.158	0.356	0	0	0.253	1.089	0	0.086	0	0.034	0	0.133	0	0.117	0.325	0.57
RORA	0.056	1.27	0.066	0.282	0.225	2.474	0.146	0.653	0.083	0.087	0.235	2.487	0.188	0.814	2.763	0.833
RORB	0	0.101	0	0.016	0	0.061	0.023	0.083	0	0.023	0	0.02	0	0.083	1.078	0.038
RORC	0	0.522	0	0.235	0	1.701	1.151	2.511	0.074	0.131	0.45	1.002	0	0.056	0.211	0.043
ROS1	0	0.356	0	0.024	0.023	0.041	0.011	0.106	0	0	0	0.105	0	0.071	0.056	0
RP1	0	0.01	0	0.033	0	0.048	0	0.002625	0	0.003944	0.051	0.043	0	0.096	0.036	0
RP1L1	0	0.027	0	0	0	0.02	0.042	0.014	0	0	0	0.011	0	0.019	0.027	0
RP2	0.113	1.579	0	0.349	0.406	4.512	0.987	3.532	0.497	4.576	0.236	2.782	0.13	4.048	4.142	0.215
RP9	0.577	4.292	0.227	1.557	0.154	2.994	1.275	2.76	0.425	5.021	0.807	3.92	2.376	4.927	3.122	1.102
RPA1	0.149	5.302	0.293	1.339	0.915	11.084	1.644	4.041	0.11	4.119	1.125	6.119	1.264	10.012	8.346	1.169
RPA2	0.627	7.46	0.444	1.759	0.402	11.488	3.665	14.207	0	11.349	1.263	6.787	0.871	10.677	14.682	1.357
RPA3	0	1.921	0.16	0.219	0	3.48	0.105	2.491	0	4.181	0.227	1.79	0.104	3.666	5.444	0.086
RPAIN	0.62	3.234	0.325	3.212	0.552	6.281	2.951	3.588	1.14	3.584	2.772	5.711	2.656	5.897	3.502	1.84
RPAP1	0.185	1.826	0.109	0.834	0.111	1.932	1.367	2.841	0.611	3.105	0.581	2.687	0.499	3.182	2.804	0.558
RPAP2	0.485	7.45	0.899	3.477	1	6.323	5.699	6.157	1.224	4.599	3.663	8.513	2.086	8.413	5.721	1.367
RPAP3	0.76	5.813	0.207	2.335	0.375	7.327	3.419	7.654	1.098	9.343	1.423	7.843	0.813	8.039	7.69	1.452
RPE	0.761	9.974	0.997	2.919	0.542	17.091	5.568	13.116	1.12	10.089	2.27	11.146	2.153	16.323	10.628	2.421
RPE65	0	0	0	0	0	0.123	0	0	0	0.011	0	0.004022	0	0.027	0.054	0
RPF1	0.328	6.165	0.386	1.414	1.05	7.796	3.447	10.316	0.603	11.925	1.649	7.615	0.674	11.252	8.347	2.294
RPF2	0.682	16.594	0.268	3.004	0.911	15.504	6.554	12.355	1.254	13.752	3.051	12.577	2.631	19.435	16.965	3.038
RPGR	0.038	1.632	0.133	0.417	0.091	0.999	0.809	0.783	0.25	0.985	0.538	1.673	0.873	1.329	1.327	0.504
RPGRIP1	0	0.148	0	0.192	0	0.168	0	0.024	0.06	0.043	0.046	0.17	0.169	0.229	0.253	0.07
RPGRIP1L	0.07	3.066	0.165	0.678	0.112	1.515	0.598	0.92	0.077	1.137	0.322	2.078	0.35	2.351	1.619	0.355
RPH3A	0	0.016	0	0	0	0.008751	0	0.004057	0	0	0	0.016	0	0.05	0.07	0
RPH3AL	0.157	1.35	0	1.056	0.377	3.263	1.099	1.685	0	1.729	0.263	2.003	0.544	1.845	1.275	0.299
RPIA	0.353	2.465	0	0.508	0.377	2.214	1.512	2.947	0.26	2.901	0.888	2.339	0.908	3.531	5.004	2.245
RPL10	4.466	31.546	0.549	2.334	3.058	61.048	16.208	108.389	3.491	155.733	6.948	30.139	4.164	75.698	46.242	5.744
RPL10A	15.597	143.172	10.26	13.27	20.197	184.708	94.22	383.14	17.878	379.337	39.515	116.758	44.445	347.993	165.108	33.982
RPL10L	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0.012	0	0.169
RPL11	26.872	237.456	8.426	20.83	18.269	219.078	91.606	438.182	17.646	459.26	31.683	156.284	45.94	432.499	262.66	48.065
RPL12	10.783	421.298	8.094	14.809	13.62	197.992	115.377	397.621	23.082	389.91	50.999	213.01	38.583	366.936	265.811	75.704
RPL13	3.194	60.193	1.13	6.857	1.427	19.178	10.92	63.023	2.669	56.034	5.322	21.332	5.459	45.54	47.287	7.639
RPL13A	24.835	530.022	13.139	30.295	18.005	184.089	157.78	482.283	44.947	627.119	71.098	231.766	73.001	484.925	279.816	64.972
RPL14	17.823	239.349	7.096	17.729	8.751	94.149	68.855	216.803	15	207.176	31.968	108.99	27.682	231.472	83.241	25.241
RPL15	2.195	54.013	1.672	7.241	1.833	45.921	23.329	101.894	3.685	88.036	8.979	37.893	6.07	73.777	40.617	8.179
RPL17	3.894	105.25	5.468	14.357	11.446	193.609	107.899	318.976	11.871	272.299	41.234	131.641	42.217	331.669	143.121	35.172
RPL17-C18ORF32	0.421	6.903	0.372	1.647	1.097	14.136	6.563	20.441	0.697	22.702	3.091	11.671	2.843	22.088	10.792	2.68
RPL18	4.863	79.562	3.155	6.362	2.534	48.382	14.877	114.213	5.367	148.551	7.957	31.914	3.378	82.474	93.516	8.821
RPL18A	0.321	53.564	0.379	3.815	0.258	59.373	12.276	171.314	2.838	262.524	3.776	34.138	4.961	139.289	126.275	5.523
RPL19	22.98	355.059	16.334	68.27	17.712	338.059	148.006	883.455	40.648	1041.82	55.377	301.326	59.799	634.355	512.341	70.508
RPL21	7.58	137.096	4.024	17.279	10.634	261.697	76.812	533.085	16.734	520.436	13.676	100.257	28.666	293.424	118.611	19.782
RPL22	2.276	32.099	0.854	2.623	2.322	40.616	14.19	79.655	2.512	50.007	6.076	20.987	5.827	72.417	33.962	6.847
RPL22L1	0.22	2.451	0	0.445	0.088	2.908	1.028	5.564	0.243	12.64	0.092	2.586	0.509	3.912	3.526	0.839
RPL23	17.941	173.479	8.818	20.266	16.778	170.803	190.241	536.258	31.766	678.971	72.134	183.011	51.633	420.588	324.152	95.396
RPL23A	4.224	152.272	4.458	25.61	5.525	178.937	75.731	418.934	14.724	738.849	22.201	136.046	27.796	366.545	238.611	24.057
RPL24	16.501	423.415	10.411	50.62	15.688	317.39	104.09	478.433	25.413	460.842	41.216	216.71	43.83	507.046	477.412	71.564
