Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
TRANK1	2.217	2.875	4.517	2.338	4.025	5.076	3.157	1.985	10.202	3.49	2.764	4.326	10.195	13.108	3.34	2.723	14.085	3.144	1.587	2.897	2.038	6.753	1.996	2.03	2.293	3.647	2.156	2.734	0.643	13.132
TRAP1	17.637	6.208	13.129	6.147	21.246	4.516	27.658	9.706	21.651	33.629	9.023	6.301	12.596	16.264	18.726	7.832	18.151	44.84	6.892	27.982	4.02	13.943	4.196	20.974	8.166	17.776	20.403	13.589	1.518	12.244
TRAPPC1	3.334	5.909	6.802	7.594	5.568	5.568	6.903	7.89	9.435	14.512	4.853	6.297	5.12	12.419	10.815	7.97	14.609	13.194	5.694	16.968	4.917	11.832	6.498	8.267	4.343	9.032	5.632	8.319	2.406	12.082
TRAPPC10	5.22	3.105	4.325	2.63	6.24	4.314	6.556	3.162	8.714	6.677	3.292	3.979	8.136	9.786	6.565	3.794	10.531	9.732	4.299	8.235	3.286	7.979	3.36	5.726	3.493	6.145	3.979	2.438	1.2	9.694
TRAPPC11	7.487	3.203	12.002	3.904	9.834	3.516	13.237	4.284	14.962	16.139	3.925	4.643	15.771	16.251	13.822	4.438	16.29	11.89	2.89	12.412	4.016	13.392	3.173	9.523	4.13	7.632	10.645	7.575	2.347	10.152
TRAPPC12	4.512	1.844	7.067	2.56	6.241	2.647	7.335	2.652	6.814	8.263	3.118	2.793	4.771	5.445	8.46	3.626	7.123	8.182	1.206	6.19	2.099	4.999	1.777	3.057	2.846	4.131	6.094	3.367	0.736	4.227
TRAPPC2	2.45	2.399	3.161	2.259	2.597	1.692	2.874	3.396	4.004	7.283	2.563	2.594	4.185	4.778	4.237	2.181	5.255	7.661	2.129	4.787	2.57	3.677	2.787	4.744	2.98	3.528	4.319	2.173	1.3	3.493
TRAPPC2L	5.892	4.272	6.688	2.987	7.514	1.648	11.832	4.283	13.185	15.996	3.781	3.686	13.585	13.87	11.567	2.254	15.311	6.872	1.47	9.768	1.902	15.975	2.112	8.037	2.613	6.774	14.451	5.444	1.847	4.577
TRAPPC3	4.766	3.176	3.967	3.032	6.836	3.877	9.273	3.818	12.902	14.017	3.902	3.439	13.456	13.593	10.205	4.043	16.848	15.753	6.452	9.813	3.413	12.663	4.927	7.437	4.827	7.803	8.11	5.499	3.313	11.399
TRAPPC4	3.369	2.879	5.911	3.131	4.407	2.784	9.997	3.197	11.78	9.289	2.166	1.623	9.122	10.359	8.296	2.734	13.157	9.605	3.263	3.95	1.709	7.594	2.906	2.439	1.674	7.942	6.798	3.805	1.936	8.891
TRAPPC5	5.153	1.242	4.827	1.186	4.766	1.084	10.106	1.729	12.14	15.507	2.163	3.382	14.166	12.726	10.233	1.382	14.386	8.757	0.832	8.467	2.413	9.897	1.954	6.573	2.005	8.178	7.677	7.013	1.64	6.176
TRAPPC6A	2.077	0.947	0.815	0.226	0.624	0.568	1.781	1.107	1.627	4.481	1.058	0.801	0.784	2.052	3.278	1.099	2.843	1.999	0.201	2.381	0	2.017	0.41	0.656	1.051	0.83	1.437	1.095	0	1.462
TRAPPC6B	5.208	5.227	7.595	5.005	6.682	3.644	6.961	4.458	11.151	9.68	4.785	4.124	11.127	10.271	7.578	3.59	10.547	8.975	3.602	3.562	2.55	9.135	3.37	3.017	3.651	5.454	7.094	5.602	2.426	8.136
TRAPPC8	3.329	2.686	4.992	2.235	7.899	3.629	8.123	3.315	14.391	12.45	3.607	2.64	13.641	15.43	11.37	3.115	14.527	8.236	2.73	6.343	2.815	9.752	1.886	4.339	2.2	7.512	4.546	3.792	1.114	8.746
TRAPPC9	5.554	2.244	6.518	2.641	5.555	3.407	3.68	3.071	3.628	3.215	3.604	5.144	4.078	3.065	3.227	4.792	2.996	3.969	2.223	4.81	1.933	3.303	1.625	3.183	2.952	2.658	1.926	2.152	0.909	3.462
TRAT1	0.477	0.538	0.697	0.433	0.133	0.34	0.415	0.482	3.114	0.896	0.275	0.219	6.229	2.425	1.179	0.502	2.772	1.771	0.128	0.104	0.403	2.344	0.098	0.314	0.431	1.588	0.138	0.15	0.137	0.999
TRDMT1	0.545	0.407	0.63	0.556	0.602	0.466	0.859	0.5	1.008	0.704	0.486	0.411	1.068	0.74	0.801	0.502	0.86	1.119	0.985	1.03	0.535	0.823	0.433	0.555	0.365	0.497	0.517	0.331	0.273	0.707
TRDN	0.067	0.013	0.038	0.054	0	0	0.162	0.007424	0.026	0.131	0.006689	0	0	0.039	0.007498	0	0.027	0.044	0.035	0	0.016	0.043	0.015	0.024	0.022	0	0	0	0.063	0
TREH	0.073	0.207	0.769	0.198	0.091	0.124	0.3	0.088	0.381	0.146	0.37	0.2	0.21	0.204	0.222	0.066	0.724	0.032	0.029	0.379	0	0.126	0	0.144	0.033	0.182	1.006	0	0	0.457
TREM1	0.618	1.147	0.228	0.315	0.11	0.377	0.242	0.641	0.201	0.115	0.032	0.091	0.185	0.041	0.054	0.027	0.344	1.179	0.392	0.172	0.336	0.153	0.326	0.261	0.279	0.22	0.687	3.695	0.532	0.055
TREM2	0.256	0.183	0.198	0.044	0.054	0.329	0.07	0	0.493	0.103	0.023	0.265	0.773	0.144	0.118	0.116	2.694	0.628	0.259	0.668	0.325	0	0.158	0.506	0.116	0.213	0	3.862	0.663	0.322
TREML1	0.069	0	0.106	0	0	0.235	0.189	0.167	0.096	0.138	0.05	0	0.216	0.129	0.105	0.041	0	0.123	0.111	0	0	0	0	0	0	0	0.238	0.129	0	0
TREML2	0.52	0.217	0.315	0.207	0.21	0.153	1.074	0.304	0.339	0.202	0.209	0.222	0.338	0.309	0.208	0.28	0.404	4.473	1.49	0.514	0.091	0.187	0.044	0.212	0.194	0.149	0.248	0.169	0	0.225
TREML4	0	0	0	0	0	0	0.107	0	0	0.026	0	0	0	0	0.02	0.059	0	0	0.079	0	0	0	0	0	0	0	0.113	0.123	0	0
TRERF1	1.644	0.848	1.096	0.84	0.772	1.064	0.865	1.012	1.237	1.667	1.245	1.395	2.012	1.304	1.196	1.165	1.321	1.758	0.882	1.042	0.812	1.11	0.592	0.983	0.964	0.74	0.769	0.803	0.46	1.05
TREX1	0.412	0.248	0.654	0.259	1.191	0.542	1.167	0.499	1.618	1.76	0.634	0.567	2.026	1.874	1.561	0.648	2.938	3.191	0.384	0.991	0.322	1.209	0.078	0.626	0.258	1.108	0.767	1.133	0.109	1.673
TREX2	0.054	0.038	0	0	0.045	0.092	0.089	0	0	0.022	0.078	0	0.028	0	0.016	0	0.163	0	0.087	0	0	0	0	0	0	0.089	0	0	0	0
TRH	0.034	0	0.017	0.046	0	0	0.018	0	0	0	0	0	0	0	0	0	0.015	0.06	0.027	0	0	0	0.083	0	0	0	0	0	0	0
TRHDE	0.158	0.277	0.257	0.231	0.223	0.311	0.213	0.015	1.417	1.402	0.57	0.217	1.501	2.23	2.29	0.839	2.118	0.703	0.509	0.822	0.216	1.052	0.209	0.288	0.208	1.878	0.252	0.023	0.042	1.739
TRHR	0.048	0	0.049	0	0	0	0.105	0	0	0.153	0	0	0	0	0.015	0.029	0	0	0	0.124	0	0	0	0	0	0	0	0	0	0
TRIAP1	10.66	4.953	15.414	9.382	10.424	1.949	20.425	7.873	20.53	30.012	5.455	4.708	14.937	16.831	18.972	5.448	18.296	25.952	9.293	19.009	4.194	15.618	4.777	10.129	7.57	10.719	21.098	10.086	2.948	10.029
TRIB1	8.977	6.974	8.489	6.269	11.615	7.008	20.323	11.346	41.141	19.581	6.755	5.642	18.972	18.663	10.626	6.299	54.143	9.187	3.502	13.046	5.27	12.156	12.983	8.495	8.545	13.641	7.121	12.009	5.435	21.302
TRIB2	2.186	1.72	4.464	3.295	4.021	2.404	3.427	3.074	2.598	4.621	2.197	1.641	3.372	2.048	4.166	2.637	2.622	5.842	2.381	1.394	2.637	1.696	2.6	1.207	2.21	1.679	2.538	2.762	1.687	1.614
TRIB3	1.456	0.665	0.95	0.804	1.767	0.094	2.31	0.965	0.404	1.548	0.26	0.34	0.49	0.545	0.471	0.314	0.298	2.154	0.71	4.081	0.697	0.381	0.948	1.845	1.564	0.274	4.277	0.879	0.379	0.483
TRIL	0.44	0.674	0.44	0.861	0.412	0.342	2.651	2.002	0.774	0.499	0.179	0.587	2.193	1.057	0.277	0.465	0.964	0.427	0.581	0.625	0.372	1.202	0.296	0.263	1.288	0.643	0.922	1.33	0.322	0.703
TRIM10	0.703	0.609	0.951	0.478	0.825	0.65	0.459	0.552	1.541	1.01	0.719	0.837	0.956	1.529	1.058	0.651	1.49	0.135	0.077	0.792	0.193	0.988	0.375	0.525	0.378	1.043	0.329	0.072	0.066	0.716
TRIM11	3.756	1.106	3.346	1.124	2.927	0.942	4.775	1.82	3.344	3.286	1.093	1.379	1.68	3.242	3.684	1.023	3.872	5.666	1.536	2.805	0.762	3.039	0.617	2.373	1.312	2.042	3.464	2.451	0.345	3.147
TRIM13	3.54	1.782	4.41	2.76	3.085	1.4	4.996	2.778	5.365	7.681	2.397	1.904	6.286	6.576	7.41	2.762	5.112	7.394	2.945	8.559	2.701	5.523	2.445	5.211	2.705	3.392	4.879	1.319	0.471	3.66
TRIM14	5.715	6.19	5.406	4.602	8.724	4.14	6.624	4.979	10.761	9.269	4.713	6.038	12.539	10.166	9.474	7.428	12.455	11.774	6.075	5.336	2.984	6.959	2.763	3.497	5.726	8.82	7.563	4.637	1.431	9.217
TRIM15	6.756	1.618	5.769	1.277	6.046	1.295	3.28	1.101	11.928	3.134	0.992	0.917	4.477	8.05	4.337	1.566	21.298	3.644	0.611	7.34	1.153	5.464	0.747	4.666	1.04	5.495	5.554	2.167	0.522	7.919
TRIM16	5.737	2.332	5.237	2.338	10.55	2.303	11.117	3.799	7.358	13.07	3.228	2.142	6.78	3.511	12.071	3.462	6.609	8.401	1.724	8.895	1.885	3.464	2.519	6.878	2.266	5.488	6.266	7.957	1.762	3.502
TRIM16L	0.544	0.218	0.895	0.439	0.681	0.291	0.878	0.535	0.547	1.916	0.854	0.515	0.926	0.967	1.653	0.531	1.001	3.332	0.247	0.709	0.431	1.179	0.335	0.805	0.276	0.17	0.588	0.256	0.117	0.854
TRIM17	0.102	0.073	0.264	0.139	0.021	0.044	0.084	0.124	0.107	0.062	0.056	0.035	0.107	0.096	0.047	0.031	0.055	0.182	0.062	0.067	0	0.089	0	0	0.092	0	0	0.048	0	0.064
TRIM2	29.234	15.008	42.432	20.724	32.658	6.385	91.449	31.387	28.408	63.932	17.722	13.69	39.475	41.69	53.51	17.859	34.075	37.565	14.306	39.579	11.255	28.508	11.056	29.07	19.125	17.751	36.966	12.481	5.682	22.105
TRIM21	6.008	3.06	9.174	3.041	10.85	2.21	10.231	2.412	13.484	12.935	2.428	3.366	20.685	11.555	10.514	2.834	17.504	13.506	1.55	9.464	2.215	9.57	2.066	6.207	1.704	6.045	7.853	6.641	0.723	6.321
TRIM22	9.788	5.946	14.927	5.5	10.994	3.391	10.985	3.565	9.086	6.958	3.363	3.601	28.297	10.001	14.336	5.097	13.851	14.003	3.976	3.691	4.479	8.618	4.352	2.41	4.845	4.389	8.822	14.608	2.781	5.479
TRIM23	1.676	0.898	2.683	0.834	1.976	1.004	2.174	0.963	2.803	4.228	1.276	0.856	3.314	4.396	2.648	0.893	2.844	3.433	0.767	3.556	1.665	3.056	0.894	1.91	0.546	1.38	0.956	1.984	0.477	1.607
TRIM24	6.965	3.559	10.704	4.531	7.853	1.985	7.72	6.033	6.283	9.961	2.993	3.219	6.93	7.089	9.551	2.912	9.597	18.182	4.222	11.001	2.219	6.71	2.654	6.577	3.298	3.863	8.322	6.46	1.45	6.596
TRIM25	6.862	3.359	5.284	3.231	10.079	4.893	6.498	4.036	12.428	10.01	4.785	4.473	9.012	10.189	8.784	5.373	14.099	8.915	4.213	6.876	2.767	7.485	2.949	5.188	4.144	9.448	5.802	2.318	1.496	13.09
TRIM26	7.455	5.749	5.785	4.181	6.928	5.622	8.749	5.138	9.291	9.003	4.202	6.096	8.764	9.538	6.956	4.874	12.625	12.169	5.052	8.957	2.891	6.48	4.698	6.124	3.832	6.436	6.205	4.221	2.384	8.641
TRIM27	7.081	3.249	9.486	3.519	8.793	2.173	11.162	3.767	11.332	14.835	4.789	3.093	13.249	9.461	14.085	4.556	11.255	15.306	3.883	11.352	3.109	7.87	2.909	6.9	3.485	5.665	5.966	5.553	1.8	6.616
TRIM28	10.224	3.422	9.941	5.746	13.082	3.192	14.566	7.421	12.246	18.698	4.822	5.861	11.325	8.504	11.089	5.187	12.269	36.497	6.009	28.95	5.141	9.319	3.255	15.465	5.328	6.821	11.342	7.072	1.806	7.669
TRIM29	2.656	0.493	1.958	0.911	4.137	0.076	10.793	5.624	3.324	18.937	5.498	1.966	3.135	0.651	1.775	1.731	0.532	8.471	5.565	6.163	2.095	0.232	0.825	3.878	0.383	1.04	0.772	3.739	0.693	0.168
TRIM3	0.614	0.677	1.215	0.619	0.512	1.049	0.413	0.48	2.09	1.554	1.109	1.172	1.826	1.637	3.306	1.416	2.101	1.164	0.847	1.908	0.854	1.579	0.634	1.563	0.447	1.449	0.753	0.522	0.136	1.542
TRIM31	19.047	8.286	15.935	4.115	14.489	11.423	3.178	3.423	49.189	38.574	16.897	9.837	50.275	87.176	26.03	6.694	113.051	24.137	1.61	17.32	2.445	26.86	6.719	11.813	2.853	14.326	13.338	1.877	2.063	86.97
TRIM32	2.12	1.277	2.851	1.318	2.194	0.867	2.678	0.922	2.851	4.813	1.971	0.923	3.684	2.888	3.22	1.111	3.469	4.278	1.886	3.21	0.781	2.89	1.384	2.003	2.062	1.507	3.384	2.149	0.687	2.277
TRIM33	10.948	4.673	14.093	5.891	13.534	4.821	13.134	6.147	13.041	13.741	5.574	4.393	13.398	12.452	11.943	5.255	12.798	14.074	6.553	13.388	5.37	9.555	3.286	9.316	4.891	6.064	8.58	8.152	2.368	9.565
TRIM34	0.538	0.211	2.164	0.274	1.706	0.69	0.813	0.651	3.779	3.983	0.411	0.444	3.044	3.361	3.569	0.453	4.309	2.946	0	2.732	0.341	1.958	0.596	2.336	0.243	1.924	2.046	1.012	0.556	1.689
TRIM35	1.913	1.249	2.739	1.724	2.888	1.172	2.216	1.641	2.987	4.401	1.763	1.624	3.233	2.559	3.467	1.504	3.666	3.565	1.672	2.616	1.213	1.824	0.589	2.014	1.555	1.804	2.095	2.01	0.989	3.085
TRIM36	0.992	0.755	0.519	0.272	1.725	1.107	0.908	0.551	3.073	2.583	0.777	0.758	4.757	4.464	1.963	0.795	5.053	2.945	0.856	3.517	1.013	3.726	0.441	2.393	0.734	2.567	1.906	2.1	0.475	4.881
TRIM37	5.194	2.509	5.759	3.007	8.545	2.136	6.295	2.976	7.686	9.176	2.513	2.241	7.952	7.685	5.917	2.05	7.606	6.553	2.277	5.339	1.887	6.28	1.73	4.822	2.359	3.948	3.253	4.175	1.065	4.375
TRIM38	5.937	6.053	6.782	4.217	8.176	5.566	6.874	4.872	8.195	8.48	6.241	5.042	10.344	9.393	7.642	5.583	9.923	8.724	4.434	7.89	3.978	6.933	4.249	4.632	4.336	4.681	4.265	4.822	2.476	5.235
TRIM39	2.125	1.122	2.686	1.216	2.647	0.939	1.849	0.922	3.133	3.179	1.295	0.731	2.868	2.856	2.6	1.054	3.037	3.155	1.215	2.676	0.674	1.412	1.048	0.909	1.184	1.739	1.225	1.3	0.305	1.202
TRIM39-RPP21	0.86	0.245	0.466	0.263	0.718	0.735	0.496	0.625	0.992	0.294	0.657	1.776	0.473	0.338	0.368	0.775	1.006	0.69	0.382	0.448	0.436	1.342	0.318	1.189	0.194	0.286	1.041	0.243	0.297	1.081
TRIM4	5.183	2.165	6.857	2.385	4.507	1.965	6.692	3.8	7.249	14.172	3.311	3.004	6.893	10.026	11.42	3.736	10.355	14.496	2.783	11.676	3.411	8.582	1.921	8.694	2.535	4.248	7.009	5.795	1.478	6.024
TRIM40	0.281	0.275	0.508	0.382	0.969	0.361	0.309	0.128	4.818	0.127	0.064	0.242	3.021	1.276	0.258	0.169	12.514	0.532	0.227	1.557	0.089	0.244	0.087	0.555	0.381	1.579	2.796	0	0	2.297
TRIM41	3.734	2.62	3.066	2.615	3.625	3.334	2.517	2.518	2.817	3.28	3.106	2.405	1.716	3.511	2.673	1.725	3.338	3.573	1.9	3.786	0.7	2.424	0.635	2.179	1.894	1.837	2.545	2.458	1.015	1.572
TRIM42	0.026	0	0	0.018	0	0	0.087	0	0	0.021	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0.024	0	0	0	0	0
TRIM43	0.207	0	0.043	0.028	0	0	0.205	0	0.029	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0
TRIM43B	0.404	0	0	0.027	0	0	0.222	0	0.028	0.163	0	0	0	0	0	0.024	0	0	0.065	0	0	0	0	0	0	0	0	0	0	0
TRIM44	11.264	12.249	11.488	10.513	11.844	9.376	11.884	11.123	13.972	17.209	8.033	10.286	13.67	12.599	13.948	9.693	15.961	16.942	15.823	17.849	7.607	9.267	8.425	14.171	9.643	8.169	9.565	8.802	3.375	7.848
TRIM45	0.602	0.188	0.709	0.358	0.503	0.515	0.558	0.388	0.303	0.916	0.623	0.44	0.197	0.521	0.668	0.52	0.326	0.721	0.38	0.49	0.191	1.044	0.093	0.297	0.357	0.47	0.325	0.354	0.13	0.047
TRIM46	0.18	0.085	0.072	0.081	0.1	0	0.066	0.097	0.028	0.032	0.029	0.055	0.052	0.037	0.031	0.072	0.026	0.053	0.113	0.052	0	0.069	0	0	0.198	0.1	0.069	0.113	0	0.251
TRIM47	1.191	0.912	0.953	0.668	2.213	1.273	2.274	0.721	1.978	2.409	0.574	0.943	2.543	2.251	1.521	0.859	2.179	2.6	0.649	2.172	0.604	1.755	0.734	1.176	1.345	1.288	2.987	1.345	1.027	1.272
TRIM48	0.047	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161	0	0	0
TRIM49	0.218	0	0.016	0.085	0	0	0.086	0	0.022	0.176	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0.052	0	0.059	0	0
TRIM49B	0.05	0	0	0	0	0	0.109	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49C	0.187	0	0	0.085	0	0	0.24	0.038	0	0.088	0	0	0	0	0.009529	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0
TRIM49DP	0.046	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0.02	0.041	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49L1	0.245	0.029	0.021	0.056	0	0	0.292	0.049	0	0.033	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM5	4.862	3.62	7.355	3.194	6.535	2.109	7.822	2.722	7.495	7.597	3.082	2.104	7.103	5.189	5.278	2.634	8.893	10.27	3.953	7.916	2.663	4.279	2.678	5.744	2.778	4.811	4.459	4.887	1.206	4.536
TRIM50	0	0.07	0	0.045	0	0.056	0.018	0.04	0.046	0.013	0.024	0	0	0.025	0.02	0.099	0.029	0	0.027	0.086	0.251	0	0	0	0.059	0	0	0	0	0
TRIM51	0.207	0.029	0.021	0.113	0	0	0.273	0	0	0.1	0	0	0.043	0	0.013	0	0	0.037	0.1	0	0	0	0	0	0	0	0	0	0	0
TRIM51GP	0.198	0	0	0.034	0	0	0.163	0	0	0.14	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0
TRIM52	4.871	1.542	5.803	1.677	3.465	2.724	2.297	1.311	3.911	3.619	2.494	1.78	4.018	5.108	4.976	2.078	5.118	5.706	1.504	8.46	1.525	3.441	1.26	4.393	1.603	2.602	3.536	3.113	0.415	3.325
TRIM54	0	0.07	0.152	0.067	0.027	0	0.054	0.04	0.023	0.092	0.012	0.045	0.034	0.024	0.981	0.138	0	0.087	0	0.17	0.166	0.113	0	0.129	0.059	0	0	0	0	0
TRIM55	0.165	0	0.012	0.064	0	0	0.13	0	0.083	0.019	0.017	0.065	0.062	0.08	0.065	0.043	0.051	0.021	0	0	0	0	0	0	0	0	0	0	0	0
TRIM56	5.395	4.938	5.421	3.772	6.408	3.962	4.249	5.477	4.822	5.322	3.878	5.622	5.167	5.488	6.31	4.145	4.616	5.297	3.235	6.087	2.795	3.492	1.967	3.6	4.29	2.971	4.402	3.433	1.31	3.199
TRIM58	0.327	0.093	0.027	0.036	0.076	0.447	0.165	0.047	0.475	0.11	0.033	0.018	0.082	0.284	0.056	0.079	0.119	0.023	0.032	0	0.066	0.498	0	0	0.106	0.109	0.045	0.467	0.135	0.492
TRIM59	2.399	1.052	2.126	1.454	4.355	0.416	4.805	1.853	1.629	5.164	0.93	0.598	3.917	2.661	2.675	0.637	2.334	6.861	1.95	3.034	1.94	2.592	1.071	2.677	0.911	1.475	2.646	4.516	1.678	2.01
TRIM6	0.211	0.164	0.089	0.013	0.112	0.23	0.032	0.116	0.161	0.046	0.006983	0	0.151	0.165	0.276	0.058	0.291	0.291	0.077	0.05	0	0	0.047	0.076	0.087	0.287	0.398	0.181	0.132	0.289
TRIM6-TRIM34	1.007	0.538	0.489	0.566	0.129	0.099	1.659	0.094	0.406	0.849	0.789	1.039	0.517	0.949	0.823	0.419	0.084	0.5	0.765	0.555	0.344	0.604	0.286	0.382	0.472	0.322	0.335	0.401	0.133	0.243
TRIM60	0.033	0	0.017	0.091	0.084	0.057	0.055	0	0.023	0.027	0	0	0	0	0.031	0	0	0.03	0.081	0.087	0	0	0	0	0	0.056	0	0	0	0
TRIM61	0.213	0	0.066	0.116	0.107	0.146	0.187	0.052	0.089	0.12	0.047	0.176	0.738	0.128	0.196	0.026	0.443	0.38	0.206	0	0.108	0.148	0.105	0	0.077	0.142	0	0.08	0	0.322
TRIM62	0.491	0.425	0.362	0.31	0.381	0.69	0.443	0.213	0.724	0.643	0.396	0.869	0.91	0.446	0.488	0.38	0.775	0.547	0.524	0.457	0.267	0.304	0.216	0.139	0.475	0.35	0.425	0.429	0.181	0.882
TRIM63	0	0.027	0	0	0.032	0	0.063	0.046	0.106	0.031	0.028	0	0	0.185	0.116	0	0.132	0	0	0	0	0.264	0	0	0	0.19	0	0	0	0
TRIM64	0	0	0	0.06	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0
TRIM64B	0.264	0.031	0	0.06	0	0	0.435	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0	0
TRIM64C	0.1	0	0.026	0	0	0	0.082	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM65	1.469	1.172	1.82	1.439	2.65	1.105	2.939	1.472	1.891	4.148	1.797	1.537	1.9	2.42	2.697	1.272	2.02	3.229	1.249	1.174	0.895	2.106	1.256	1.083	1.558	1.565	2.236	1.992	0.54	1.477
TRIM66	0.926	0.905	1.365	1.005	2.002	1.335	0.866	0.87	0.662	0.854	2.029	2.14	1.079	0.649	0.864	1.561	0.769	0.905	1.366	1.044	0.999	0.815	1.141	0.682	0.942	0.471	0.382	0.39	0.262	0.712
TRIM67	0.04	0.045	0.00408	0.032	0.006602	0.027	0.03	0.019	0	0.035	0.005754	0.011	0	0.015	0.007256	0.033	0.006849	0.007044	0.026	0.021	0	0.027	0	0	0.014	0.013	0	0	0.027	0
TRIM68	1.387	0.83	3.091	1.312	1.83	1.237	2.916	1.242	3.346	4.442	1.302	0.747	3.54	3.49	4.655	1.619	3.639	5.552	1.801	2.514	0.459	2.788	0.446	2.699	1.308	1.305	3.129	0.984	0.277	0.96
TRIM69	0.39	0.177	0.219	0.289	0.148	0.545	0.467	0.086	0.248	0.114	0.077	0	1.059	0.504	0.39	0.362	0.691	0.316	0.086	0	0.18	0.492	0	0	0.16	0.236	0.245	0.534	0	0.356
TRIM7	0.3	0.071	0.015	0.039	1.026	0.024	0.298	0.173	0.15	0.627	0.281	0.118	0.764	0.609	0.07	0.069	0.359	0.102	0.012	0.298	0.217	0.297	0.035	0.169	0.026	0.285	0.099	1.022	0.099	0.431
TRIM71	0.773	0.061	0.587	0.438	0	0	0.035	0	0.015	0.017	0.007813	0	0	0	0	0	0	0.019	0	0	0	0	0.053	0	0.019	0	0	0.04	0	0
TRIM72	0	0	0	0.021	0	0	0.052	0	0	0	0	0	0	0.012	0.115	0.019	0	6.332	0.076	0.163	0	0	0	0	0	0.052	0	0	0.108	0
TRIM73	0.15	0.32	0.077	0.136	0.042	0.171	0.055	0	0.279	0.121	0.309	0.137	0.078	0.224	0.168	0.15	0.086	0	0	0.26	0.127	0	0.123	0	0.225	0	0	0.094	0	0.251
TRIM74	0.25	0.107	0.026	0.102	0.167	0.171	0.055	0.302	0.035	0.824	0.418	0.137	0	0.224	0.137	0.03	0.065	0.044	0.121	0.26	0.127	0	0	0	0.135	0.166	0	0.094	0	0
TRIM77P	0.299	0	0.051	0.034	0	0	0.246	0	0	0.1	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.045	0	0	0.094	0	0
TRIM8	9.085	9.514	10.859	10.538	7.935	7.767	10.498	8.002	10.561	22.12	8.756	7.03	10.578	12.084	15.946	11.232	13.869	13.104	10.007	9.532	6.728	8.26	5.75	5.915	7.365	6.987	9.343	9.475	4.826	6.665
TRIM9	0.058	0.097	0.065	0.106	0.033	0.4	0.08	0.047	0.484	0.118	0.032	0.094	0.123	0.193	0.021	0.176	0.173	0.182	0.283	0	0.346	0.237	0.216	0	0.264	0.146	0.034	0.037	0.067	0
TRIML1	0	0.058	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIML2	0.155	0	0.107	0	0	0	0.171	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0.094	0	0.179	0	0	0
TRIO	19.073	6.189	20.15	7.46	15.624	7.457	13.078	8.852	10.569	9.491	6.343	7.872	11.204	9.869	8.104	6.301	10.61	13.524	5.865	8.273	5.933	8.043	4.417	5.645	7.774	5.054	8.66	11.075	2.817	8.445
