Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
SMAD2	2.611	1.943	10.998	3.931	9.739	1.697	3.287	9.94	2.713	8.327	10.477	2.098	2.433	10.516
SMAD3	1.729	2.9	4.727	2.847	7.597	2.56	4.146	8.88	2.992	4.881	5.611	3.02	1.624	5.442
SMAD4	3.549	2.977	14.913	4.209	13.617	2.476	3.997	13.063	3.432	17.066	14.696	3.013	4.285	25.344
SMAD5	3.413	3.61	21.472	5.438	16.611	3.276	4.828	15.215	3.148	9.325	15.078	2.295	3.908	12.105
SMAD6	0.66	1.31	1.533	0.319	5.021	0.63	0.325	3.329	0.868	1.187	2.476	1.362	0.382	0.858
SMAD7	1.094	2.921	2.42	1.273	4.572	0.774	2	3.955	0.858	1.251	1.928	2.13	1.419	2.06
SMAD9	3.162	1	10.576	4.407	14.761	2.555	3.567	11.574	2.956	7.451	9.914	2.498	2.527	11.157
SMAGP	0.931	0.41	1.579	0.92	3.674	0.154	0.866	1.817	1.06	1.276	1.573	0.73	0.287	2.147
SMAP1	2.006	1.616	8.959	1.868	8.009	0.4	1.234	7.514	1.051	6.056	8.993	0.995	0.8	7.183
SMAP2	2.974	3.963	7.477	3.366	13.616	1.287	2.664	6.998	1.916	7.565	6.566	1.944	2.21	8.284
SMARCA1	8.315	7.984	32.442	6.159	35.527	1.352	3.59	23.54	2.948	34.528	37.052	2.214	2.197	41.373
SMARCA2	8.399	9.991	23.794	7.19	34.788	2.647	5.639	26.708	3.594	23.945	22.689	4.521	3.597	28.22
SMARCA4	5.234	3.01	14.384	4.015	16.05	0.649	2.253	13.086	1.454	18.536	15.171	1.796	1.21	15.19
SMARCA5	4.859	3.385	26.536	5.864	21.753	1.226	2.415	17.773	2.238	12.054	18.363	1.61	1.581	15.583
SMARCAD1	3.074	1.644	13.179	2.774	11.37	0.779	1.383	9.934	1.207	9.27	12.518	0.5	0.837	12.992
SMARCAL1	1.366	1.071	2.663	1.558	2.279	0.402	0.808	2.272	0.824	2.964	2.698	1.059	0.562	2.919
SMARCB1	5.146	2.029	18.981	5.458	16.326	0.559	1.891	11.997	1.672	13.118	17.1	0.885	1.096	11.232
SMARCC1	5.755	4.501	27.885	9.185	25.418	2.879	5.484	17.587	3.499	22.522	20.678	4.416	3.967	26.162
SMARCC2	6.711	10.036	18.358	7.78	20.117	2.012	4.597	19.269	3.854	18.487	19.679	4.051	2.612	18.92
SMARCD1	1.928	1.926	5.96	2.327	5.507	0.778	1.33	4.629	1.628	5.656	5.81	1.524	1.348	5.117
SMARCD2	4.579	3.485	24.909	4.622	22.694	2.476	3.778	14.06	2.964	12.163	17.617	3.7	2.117	16.692
SMARCD3	1.802	4.446	2.34	1.005	4.325	0.794	1.165	6.918	1.198	1.646	4.093	0.837	0.139	1.682
SMARCE1	10.809	8.884	51.137	8.317	48.32	2.828	6.528	37.459	4.244	29.859	46.779	3.067	3.958	35.521
SMC1A	2.047	2.633	3.965	1.966	5.003	1.195	1.655	4.23	1.238	3.952	4.341	1.932	1.252	3.869
SMC1B	0.976	0.024	0.034	0.062	0.072	0	0.021	0.066	0.154	0.051	0.072	0.142	0.021	0.03
SMC2	1.281	0.468	3.75	0.933	3.974	0.333	0.483	3.296	0.765	2.064	3.936	0.255	0.353	2.845
SMC3	5.197	6.648	24.288	6.078	29.274	1.483	3.415	22.283	3.089	17.05	23.083	2.248	1.491	21.595
SMC4	2.497	1.094	6.216	2.019	8.107	0.354	0.863	7.209	0.955	5.147	6.48	0.578	0.924	6.008
SMC5	4.201	3.493	12.891	4.278	17.654	1.597	2.624	14.53	2.404	10.296	14.013	1.499	2.22	13.273
SMC6	2.836	1.874	3.79	1.401	7.263	0.543	0.493	6.293	0.604	4.248	7.623	0.573	0.439	4.854
SMCHD1	5.841	3.785	21.128	6.35	25.932	1.648	3.517	22.494	2.55	23.939	20.851	1.472	3.084	31.041
SMCP	0.299	0.264	0	0	0	0	0	0	0	0	0	0.131	0	0
SMCR7	0.32	0.346	1.315	0.298	1.465	0.144	0.237	1.426	0.331	1.005	1.198	0.684	0.168	1.078
SMCR7L	1.2	1.765	3.879	1.554	5.764	1.437	1.899	4.523	1.422	4.878	4.501	1.446	1.435	4.768
SMCR8	1.832	2.177	6.218	2.279	7.868	1.123	1.711	5.208	1.423	6.544	6.026	1.354	0.962	7.881
SMCR9	0.283	0	0	0	0	0	0	0	0.202	0	0	0	0.327	0
SMEK1	5.981	3.706	22.967	6.959	25.763	2.74	5.145	20.784	3.993	17.525	20.089	2.658	2.647	20.104
SMEK2	6.483	5.585	23.151	8.065	29.168	2.564	7.102	23.116	5.256	18.579	26.909	2.728	3.748	23.528
SMG1	8.101	9.09	18.041	12.069	22.892	3.036	8.418	22.95	5.582	23.547	21.282	4.592	5.404	25.13
SMG5	3.336	4.588	19.664	5.458	13.44	0.793	3.587	10.953	2.495	15.79	11.723	2.004	1.792	13.187
SMG6	2.595	5.983	4.464	2.329	7.41	2.072	2.489	7.302	1.927	5.091	6.101	2.379	1.379	5.289
SMG7	2.948	3.964	5.797	4.272	5.639	2.759	3.812	5.4	3.424	7.484	5.675	2.861	3.452	7.839
SMG8	1.012	0.591	5.415	0.859	5.123	0.175	0.329	3.877	0.302	3.519	3.843	0.585	0.408	3.937
SMG9	1.797	2.721	4.528	1.901	4.81	1.053	1.178	5.047	1.303	4.488	5.178	1.153	0.831	3.58
SMIM1	0.422	0.558	0.796	0	0.676	0.349	0.491	0.722	0.401	0.658	0.893	1.288	0.326	0.464
SMIM3	0.79	0.958	2.919	1.127	3.927	1.632	1.609	3.135	0.751	1.262	2.375	0.904	1.142	2.062
SMIM4	2.568	1.584	8.394	3.711	8.631	1.697	1.793	6.142	2.438	3.04	6.784	1.343	0.198	4.514
SMIM5	0.199	0.066	0	0	0.199	0.369	0.116	0.182	0.212	0.139	0.157	0.26	0	0.245
SMIM6	0.557	0.123	0.175	0.106	0	0.23	0.108	0.204	0.132	0	0	0.243	0	0
SMN1	3.69	2.627	20.026	5.504	16.352	3.4	2.367	13.23	1.887	11.582	13.309	2.041	1.695	9.939
SMN2	2.597	4.869	15.804	3.824	8.425	1.638	3.736	16.456	0.471	0.838	7.821	0.926	1.91	11.555
SMNDC1	1.743	1.002	5.001	2.204	4.972	1.408	1.807	6.13	2.104	4.036	5.104	1.189	1.314	3.964
SMO	1.398	1.359	4.285	1.196	3.225	0.866	1.292	3.599	0.644	3.248	3.667	0.941	0.689	3.202
SMOC1	3.534	10.003	2.803	2.087	4.358	2.524	2.926	7.625	4.382	4.662	7.661	5.788	1.274	2.98
SMOC2	2.88	1.871	28.254	5.317	10.017	1.935	4.912	16.992	2.016	10.125	24.698	2.839	2.003	10.697
SMOX	0.761	0.35	6.489	1.434	1.377	0	0.616	1.841	0.377	2.01	5.744	0.995	0.344	4.717
SMPD1	1.337	2.426	6.538	1.029	6.619	0.694	0.796	4.03	0.797	3.691	5.176	0.935	0.719	3.92
SMPD2	0.869	1.331	1.855	0.261	3.185	0.113	1.065	2.881	0.391	2.822	2.937	0.419	0.264	3.506
SMPD3	0.584	0.424	8.006	2.48	2.136	0.145	0.458	1.741	0.374	0.859	4.105	0.687	0.067	1.262
SMPD4	1.706	3.655	2.866	1.588	6.559	1.312	1.962	4.178	1.536	4.82	3.746	2.384	1.632	4.686
SMPD5	0.11	0	0	0	0	0	0	0.04	0.157	0	0	0.144	0	0
SMPDL3A	2.101	1.389	9.443	1.758	7.65	1.042	1.426	6.615	1.247	7.822	7.633	0.458	1.579	12.119
SMPDL3B	0.575	0	2.425	0.502	1.761	0.084	0.512	0.545	0.434	2.088	2.468	0.575	0.117	3.319
SMPX	0.329	0.217	0	0.094	0.066	0	0.383	0.12	0	0	0	0.107	0	0.068
SMR3A	0.514	0	0	0	0	0	0	0	0.183	0	0	0.336	0	0
SMR3B	0.49	0	0	0	0	0.971	0	0	0.418	0	0.854	2.048	0	0
SMS	28.758	28.681	127.335	34.19	67.029	12.535	25.63	46.457	21.969	108.357	102.301	23.061	48.032	115.551
SMTN	4.472	8.42	8.772	3.143	20.77	2.573	4.228	38.154	2.247	9.366	18.878	3.472	3.324	9.97
SMTNL1	0.326	0.062	0	0	0.075	0.116	0.163	0.034	0.066	0.044	0.037	0.122	0.162	0
SMTNL2	0.352	1.1	0.09	0	0.051	0.079	0.261	0.234	0.137	0.03	0.304	0.376	0.185	0.185
SMU1	2.613	2.35	13.491	2.449	13.532	1.182	1.45	11.024	1.575	7.385	10.808	0.85	1.366	10.37
SMUG1	0.815	1.415	2.066	0.639	2.141	0.821	0.889	1.865	0.581	1.81	1.535	0.999	0.795	2.477
SMURF1	1.227	1.905	2.704	1.476	6.415	0.562	1.273	4.434	1.235	4.487	3.626	1.168	0.925	4.627
SMURF2	3.738	2.471	13.123	4.786	13.301	1.725	3.054	11.355	2.011	15.218	11.725	1.144	2.574	21.544
SMYD1	0.555	0.046	0	0	0.014	0.215	0.485	0	0.272	0	0	0.227	0.06	0
SMYD2	2.555	0.482	9.033	2.29	15.697	1.922	1.062	7.95	0.845	8.143	7.231	1.133	2.373	11.653
SMYD3	1.448	1.45	11.376	1.752	6.53	0.217	0.766	3.502	0.75	4.592	6.85	0.516	1.014	6.001
SMYD4	1.082	1.29	1.706	0.789	2.526	0.44	1.156	2.701	0.707	1.923	2.558	0.464	0.328	2.046
SMYD5	0.779	0.871	1.863	0.888	3.403	0.371	0.766	2.236	1.408	1.707	2.183	0.861	0.519	2.196
SNAI1	0.27	0.119	0.297	0.103	0.216	0.334	0.052	0.329	0.384	0.21	0.071	0.529	0.156	0.037
SNAI2	4.222	7.362	2.059	2.159	5.854	2.436	3.557	7.595	4.562	4.422	7.587	2.284	1.178	2.099
SNAI3	0.09	0.059	0.212	0	0.144	0.222	0	0.099	0.064	0.042	0.107	0.293	0	0.037
SNAP23	5.239	2.886	31.614	6.475	33.305	3.246	3.793	20.266	3.358	21.406	22.307	2.207	4.711	26.98
SNAP25	0.46	0.374	0.4	0.121	1.133	1.93	0.659	2.332	0.756	0.364	1.094	0.694	0.245	0.379
SNAP29	1.876	2.098	7.295	2.469	7.721	0.715	2.35	5.85	1.721	5.444	6.79	1.91	1.626	6.673
SNAP47	0.942	0.816	5.94	1.074	4.418	0.724	0.642	4.042	0.555	3.035	4.195	1.104	0.413	4.415
SNAP91	1.145	0.192	1.558	0.38	0.186	0	0.455	0.488	0.413	1.558	2.999	0.284	0.318	0.167
SNAPC1	1.476	0.459	6.194	1.057	6.369	0.072	0.471	7.332	0.742	3.164	5.803	0.568	0.368	3.219
SNAPC2	0.893	1.246	2.478	0.622	2.698	0.983	1.269	1.888	0.706	1.9	2.162	0.973	0.344	2.942
SNAPC3	2.657	2.331	8.781	3.06	10.553	1.231	2.947	8.747	1.84	8.634	11.004	1.623	1.378	8.657
SNAPC4	0.909	1.574	3.289	1.113	1.812	0.205	0.5	1.743	0.33	2.286	2.66	0.994	0.478	2.139
SNAPC5	2.448	1.295	5.447	1.117	9.559	0	1.025	7.6	0.837	4.301	5.665	0.64	0.679	4.034
SNAPIN	1.534	0.386	6.476	1.917	5.028	0.362	0.935	3.905	0.624	2.936	4.865	1.242	0.76	3.372
SNCA	0.464	0.613	0.396	0.05	2.705	0.712	0.129	1.553	0.472	2.416	0.63	0.202	0.077	0.874
SNCAIP	1.14	0.056	0.418	0.988	2.619	0.314	0.369	3.417	0.812	0.434	1.222	0.359	0.269	0.731
SNCB	0.159	0	0	0	0	0	0	0	0.302	0	0	0.277	0	0
SNCG	1.117	3.814	0.79	0.531	2.532	1.153	0.758	7.154	0.795	0.87	5.974	1.095	0.646	0.537
SND1	6.771	7.677	55.059	13.299	37.611	2.498	6.348	26.392	4.057	33.235	31.591	7.019	4.636	39.74
SNED1	1.125	2.424	1.135	0.95	3.231	0.558	0.523	2.833	0.881	2.228	1.908	1.044	0.52	2.53
SNF8	2.406	0.67	13.433	2.962	12.717	1.412	1.915	10.57	1.443	7.633	10.087	3.477	0.512	9.182
SNIP1	1.252	1.258	3.935	1.085	5.263	0.331	0.893	3.825	0.523	3.042	3.863	0.436	0.521	3.879
SNN	1.05	1.296	5.238	1.598	4.558	1.157	1.439	3.982	1.762	2.574	5.384	1.556	1.619	2.731
SNPH	0.446	0.387	0.421	0.193	0.887	0.114	0.322	1.116	0.329	0.345	0.952	0.302	0.178	0.355
SNRK	2.122	2.26	7.712	2.522	9.965	1.753	1.8	10.056	1.553	6.266	7.16	1.079	1.772	6.824
SNRNP200	6.985	7.349	20.25	8.321	21.932	2.058	4.398	18.056	3.458	19.464	19.537	3.703	2.462	21.11
SNRNP25	0.566	1.123	3.937	0.807	5.211	0.351	0.659	2.332	1.008	4.035	4.6	1.018	0.164	3.441
SNRNP27	4.651	5.866	21.823	6.525	22.799	1.855	4.416	17.573	3.198	17.884	21.607	1.677	1.73	19.644
SNRNP35	1.266	4.825	4.635	1.614	5.185	1.846	0.953	2.945	0.637	3.132	5.195	1.753	0.689	2.516
SNRNP40	2.793	3.066	32.177	4.104	20.642	1.877	2.864	17.432	2.157	12.208	23.709	3.527	1.313	13.455
SNRNP48	1.547	0.487	5.714	1.891	5.247	0.776	1.436	4.37	1.128	3.856	4.292	1.18	1.512	4.811
SNRNP70	10.673	12.789	37.086	9.896	48.459	2.675	6.372	37.521	3.416	30.445	47.522	6.585	3.743	37.779
SNRPA	2.029	2.558	10.856	2.153	9.213	1.637	1.922	7.774	2.016	8.687	9.2	2.159	1.527	7.543
SNRPA1	2.323	1.631	9.992	3.229	7.26	0.36	3.294	6.059	2.481	5.63	7.824	0.949	0.168	5.084
SNRPB	3.6	2.38	20.995	3.118	16.911	0.165	1.086	12.838	0.95	8.224	20.607	1.83	0.462	14.118
SNRPB2	3.338	2.176	21.083	2.817	17.161	0.34	1.703	13.995	1.107	8.846	15.802	0.717	1.057	11.793
SNRPC	1.895	3.674	22.273	2.234	14.405	0.626	1.47	10.544	0.81	8.264	12.916	1.073	0.949	10.825
SNRPD1	1.681	1.715	10.781	2.247	5.959	1.429	1.174	6.156	0.958	3.816	6.016	2.073	1.555	4.196
SNRPD2	5.048	5.503	37.323	5.455	26.928	0.878	2.885	18.609	3.658	12.993	23.232	5.789	1.536	16.491
SNRPD3	4.329	5.577	26.374	5.002	25.936	1.376	2.325	19.668	2.767	14.263	22.39	3.991	2.759	18.293
SNRPE	3.18	1.774	27.407	3.798	16.461	0.123	1.619	13.897	1.345	7.522	13.823	1.169	1.608	11.914
SNRPF	3.49	2.307	23.397	2.543	14.66	1.201	1.917	15.259	1.519	7.428	16.441	3.041	0.56	8.147
SNRPG	4.545	2.121	21.302	3.355	17.437	3.313	1.4	13.507	0.571	9.495	14.092	1.223	0.309	10.905
SNRPN	8.219	7.295	50.573	10.081	52.154	4.399	7.363	40.29	5.716	37.54	31.196	6.962	5.398	41.43
SNTA1	1.183	1.433	2.137	0.6	3.312	0.407	0.994	2.501	0.608	3.162	1.849	0.687	0.646	2.761
SNTB1	0.464	0.204	0.481	0.423	1.249	0.46	0.701	1.957	0.506	0.419	0.735	0.384	0.625	1.159
SNTB2	3.147	3.224	8.219	3.033	13.258	2.164	4.11	10.437	3.003	10.954	10.375	2.941	3.592	14.3
SNTG1	0.936	0	0	0	0	0.101	0.047	0	0.406	0	0	0.16	0.047	0
SNTG2	0.407	0	0.038	0.232	0.033	0.202	0.237	0.119	0.116	0.19	0.226	0.106	0.282	0.201
SNTN	0.872	0	0	0	0.155	0	0	0.035	0.207	0.045	0.154	0.063	0.672	0.479
SNUPN	1.899	1.517	4.476	1.489	5.128	0.294	0.921	4.779	0.845	3.438	6.052	1.086	0.778	5.216
SNURF	0.216	0	9.301	0.922	6.902	0	0.251	6.157	0.077	4.836	10.296	0.141	0.062	4.442
SNW1	6.071	4.635	27.566	6.019	28.774	1.881	2.649	23.708	3.449	16.988	20.193	2.221	2.214	19.832
SNX1	3.753	5.109	10.869	5.769	14.662	4.284	5.797	11.588	4.661	8.613	9.576	4.436	4.745	10.268
SNX10	0.584	0.07	2.404	0.727	1.849	0.132	0.464	1.556	0.265	1.216	1.368	0.139	0.89	1.598
SNX11	0.896	0.592	1.147	0.365	1.767	0.159	0.447	1.265	0.775	1.077	1.801	0.628	0.37	1.398
SNX12	2.261	3.547	8.129	2.854	9.456	6.201	4.7	9.446	3.907	5.212	7.167	4.611	4.53	7.452
SNX13	3.789	1.803	15.369	4.171	17.475	0.897	2.036	12.747	2.354	10.091	13.904	1.262	1.339	12.497
SNX14	3.838	1.682	10.38	2.802	19.287	0.87	2.067	16.298	0.875	12.604	20.024	0.889	0.963	16.679
SNX15	1.07	1.677	2.43	0.724	3.204	0.393	0.738	2.816	0.734	3.112	2.294	1.037	0.687	2.973
SNX16	0.801	0.118	3.754	1.319	3.382	0.055	0.621	2.671	1.14	3.118	2.979	0.552	0.746	2.804
SNX17	2.702	1.848	9.371	2.87	14.116	0.616	2.349	9.573	1.239	6.966	8.714	2.233	1.221	8.24
SNX18	0.924	1.008	3.573	1.423	6.785	0.916	1.734	5.523	1.514	3.768	3.845	0.755	1.269	4.493
SNX19	4.578	4.347	15.49	4.747	21.181	2.476	5.003	16.52	3.278	12.339	12.239	3.637	2.412	13.078
SNX2	5.759	4.126	31.351	4.789	31.008	0.829	1.945	26.848	2.434	14.964	26.825	1.409	1.804	26.021
SNX20	0.384	0.185	0.082	0.1	0.112	0.173	0.122	0.345	0.199	0.228	0.097	0.114	0.04	0.086
SNX21	1.062	1.053	1.115	0.468	2.009	0.898	1.124	2.74	0.894	1.557	2.028	0.694	0.502	1.392
SNX22	0.404	0.928	1.444	0.752	2.059	0.105	0.148	0.374	0.212	0.497	0.607	0.723	0.295	0.701
SNX24	1.151	0.571	1.73	0.78	1.526	1.961	1.13	2.212	0.922	1.109	2.053	0.282	1.081	1.719
SNX25	3.613	2.119	11.91	3.084	15.181	0.771	1.976	10.493	1.704	15.471	13.842	1.689	1.023	20.62
SNX27	2.257	2.496	7.785	3.503	8.56	4.007	4.393	8.063	3.57	6.509	7.146	3.518	4.716	7.322
SNX29	1.262	1.27	1.261	0.902	2.147	0.397	1.15	2.42	0.738	1.557	2.045	0.714	0.49	1.846
SNX3	7.718	4.79	22.525	5.211	32.057	3.383	8.369	35.099	3.889	19.921	26.3	3.501	6.616	25.006
SNX30	0.899	1.122	3.792	1.314	3.752	0.927	1.199	2.982	1.152	4.486	3.204	0.965	1.075	3.955
SNX31	0.626	0.248	0.236	0.071	0.325	0.078	0	0.023	0.401	0.117	0.174	0.205	0	0.155
SNX32	0.361	0	0	0	0.036	0	0.052	0.099	0.128	0.084	0	0.295	0.104	0.037
SNX33	2.615	4.935	7.353	2.957	10.274	1.002	2.324	10.724	2.167	7.466	7.858	2.642	1.457	8.855
SNX4	4.051	0.644	26.245	3.752	24.93	0.906	1.984	15.386	1.301	14.259	22.086	0.956	1.197	24.944
SNX5	4.46	2.488	23.064	4.77	27.409	1.554	3	20.385	2.482	15.63	17.813	2.141	2.578	22.079
SNX6	3.315	1.786	16.162	3.138	18.767	0.67	2.029	14.475	1.959	8.446	14.637	1.252	1.647	11.838
SNX7	1.73	0.686	2.896	1.431	5.4	0.322	1.107	5.954	0.678	1.738	4.011	0.622	1.1	1.996
SNX8	0.325	1.118	0.506	0.315	1.731	0.484	0.284	0.762	0.347	0.957	0.554	0.893	0.376	0.75
SNX9	4.319	4.404	17.688	4.76	23.198	2.087	3.726	18.948	2.503	12.828	16.768	1.842	3.089	15.88
SOAT1	3.975	1.747	27.983	6.663	23.012	1.679	2.881	14.267	1.787	19.881	20.496	1.495	2.362	21.408
SOAT2	0.482	0	0.035	0	0.03	0	0.129	0.081	0.317	0.035	0	0.145	0.171	0.061
SOBP	2.319	2.984	1.465	1.435	3.326	0.887	1.765	3.152	1.3	1.279	1.867	1.338	0.984	0.955
SOCS1	0.19	0.752	0.298	0.433	0.304	0.157	0.221	1.065	0.36	0.118	0.2	0.413	0.512	0.208
SOCS2	2.274	1.581	15.12	3.601	9.412	0.923	2.349	10.808	1.508	8.372	9.991	1.256	1.881	10.661
SOCS3	0.337	12.229	7.078	12.445	35.187	6.55	11.646	31.702	4.125	1.918	4.145	9.263	7.508	6.765
SOCS4	1.217	0.638	4.061	1.35	6.28	0.679	1.773	5.441	1.202	4.2	5.308	0.545	1.33	4.145
SOCS5	1.896	0.894	4.555	2.878	8.259	2.043	2.686	7.449	2.56	4.484	6.312	1.315	2.097	4.837
SOCS6	1.644	0.695	10.178	2.055	6.734	1.466	1.499	6.826	1.517	4.829	7.587	0.756	0.927	6.251
SOCS7	0.964	0.853	2.189	1.44	2.76	0.836	1.491	2.349	1.633	2.197	2.367	1.549	0.913	1.548
SOD1	16.472	17.359	108.114	14.978	94.493	3.155	5.462	79.062	5.1	49.526	92.268	4.161	3.772	60.715
SOD2	11.773	10.815	47.664	23.355	71.658	12.443	26.891	93.929	12.576	31.023	42.297	12.505	18.814	43.01
SOD3	3.016	8.84	1.849	1.434	5.35	3.115	3.685	4.896	2.291	5.497	4.662	4.075	2.209	4.101
SOGA1	2.317	4.251	8.912	4.412	4.631	1.375	3.198	6.489	2.296	7.516	8.043	2.522	1.874	6.758
SOGA2	0.656	0.45	1.594	0.489	1.111	0.094	0.235	0.915	0.216	0.66	2.51	0.511	0.029	0.676
SOGA3	0.761	0.705	0.632	0.512	0.963	0.21	0.666	1.238	0.611	0.833	1.108	0.655	0.496	0.815
SOHLH1	0.348	0	0	0	0	0	0	0	0	0	0	0.101	0	0
SOHLH2	0	0	0	0	0.028	0	0	0	0	0.033	0.083	0	0	0.058
SOLH	0.356	0.578	1.207	0.61	1.53	0.12	0.396	0.914	0.392	0.681	1.156	0.487	0.244	0.828
SON	11.969	13.914	27.729	14.626	34.735	4.202	8.882	28.498	7.281	30.364	29.512	4.772	4.384	31.693
SORBS1	8.904	13.997	12.248	11.592	28.937	12.516	24.967	50.972	14.487	13.381	28.412	10.063	19.742	21.734
SORBS2	2.5	3.373	10.17	4.678	11.728	2.164	4.711	12.586	2.378	7.608	11.08	1.824	4.196	10.369
SORBS3	2.669	7.275	3.93	2.618	5.658	3.888	3.977	5.846	3.435	6.52	4.027	5.479	3.14	4.958
SORCS1	0.49	0.287	0.142	0.194	0.219	0.257	0.274	0.387	0.255	0.194	0.239	0.16	0.262	0.186
SORCS2	0.559	0.453	0.144	0.188	0.539	0.346	0.384	0.772	0.597	0.475	0.725	0.631	0.235	0.45
SORCS3	0.587	0	0	0.015	0.032	0	0.047	0.029	0.228	0.025	0	0.244	0.062	0.011
SORD	24.047	14.957	44.83	11.846	84.163	8.94	9.411	47.378	12.688	97.933	84.444	7.574	22.651	144.914
SORL1	6.872	3.825	16.004	5.938	42.07	3.368	4.776	25.338	4.779	10.199	13.753	3.416	2.162	15.948
SORT1	2.739	3.925	9.964	4.293	12.095	3.238	4.804	11.281	4.318	6.896	9.105	3.457	2.961	9.207
SOS1	3.752	3.189	8.992	5.092	11.787	2.634	5.365	13.769	4.001	10.406	12.517	2.803	3.761	10.973
SOS2	3.834	3.386	12.4	4.588	12.422	1.649	3.518	12.775	3.235	8.991	11.249	1.4	2.291	10.681
SOST	0.201	0	0	0	0	0	0	0.024	0	0.031	0	0.218	0.039	0
SOSTDC1	0.411	0.435	0.078	0.188	1.382	0	0.048	0.572	0.41	0.192	0.456	0.108	0	0.102
SOWAHA	0.067	0	0.335	0	5.107	0.055	0	1.595	0.095	0.27	0.564	0.203	0	0.293
SOWAHB	0.421	0.591	2.456	0.57	1.158	0	0.153	0.732	0.112	0.861	1.377	0.378	0.03	0.932
SOWAHC	1.09	0.655	2.274	0.904	4.269	0.655	0.673	3.277	1.317	1.945	2.985	0.518	0.496	2.94
SOWAHD	0	0	0	0	0	0	0	0	0.069	0.136	0	0	0	0.04
SOX1	0.187	0	0	0	0	0	0.044	0	0.053	0	0	0.098	0.065	0
SOX10	0.188	0.178	0	0.123	0.15	0.599	0.219	0.216	0.421	0.075	0	0.913	0.559	0.022
SOX11	0.238	0.012	0.008312	0	0	0.044	0.01	0.006455	0.1	0.008239	0	0.127	0.051	0.029
SOX12	0.631	1.295	1.471	1.023	1.501	0.453	1.043	1.459	0.709	1.893	1.987	2.388	0.921	1.724
SOX13	1.566	2.171	3.114	1.744	3.73	1.731	1.844	3.233	2.124	2.822	2.977	3.183	1.44	2.721
SOX14	0.151	0	0.142	0	0	0.28	0.832	0.275	0.268	3.27	0.03	0.098	3.306	4.495
SOX15	0.993	1.531	0.208	0.44	2.118	0.137	0.77	1.817	0.471	0.309	0.568	0.937	0.446	0.454
SOX17	0.393	0	0.216	0.149	0.55	0	0.228	1.293	0.14	0.092	0.363	0.299	0.265	0.377
SOX18	0.225	1.311	0.128	0.154	0.397	0.112	0.052	0.297	0.128	0.253	0.322	0.177	0.104	0.111
SOX2	0.092	0.364	1.586	0.523	1.199	0.303	0.178	1.478	0.174	0.229	0.242	0	0.035	0.101
SOX21	0.122	0	0	0	0.049	0	0	0.224	0.174	0	0.024	0.24	0.035	0
SOX3	0.111	0	0.315	0.211	0	0.184	0	0	0	0	0	0.048	0.043	0
SOX30	0.306	0	0	0	0	0.175	0.027	0.034	0.134	0.044	0.037	0.554	0.027	0
SOX4	3.797	6.77	37.374	9.724	7.413	0.937	3.098	8.375	1.548	12.942	21.178	2.945	3.442	15.331
SOX5	0.57	0.855	0.334	0.579	0.813	0.61	0.573	1.871	1.008	0.762	0.842	0.745	0.391	1.344
SOX6	0.394	0.25	0.124	0.094	0.204	0.285	0.201	0.385	0.246	0.146	0.176	0.118	0.19	0.122
SOX7	0.645	0.095	0.158	0.3	0.803	0.415	0.362	1.173	0.885	0.156	0.265	0.531	0.249	0.118
SOX8	0.126	0.367	0.57	0.345	0.222	0.25	0.205	0.277	0.18	0.141	0.16	0.132	0.262	0.249
SOX9	4.688	3.59	26.283	9.025	29.231	2.856	4.318	16.477	2.337	8.854	13.485	3.729	1.355	8.145
SP1	4.182	4.988	18.359	6.217	19.974	3.364	4.9	15.513	4.947	14.186	14.325	3.875	4.338	17.714
SP100	5.136	3.269	3.677	2.568	11.614	1.196	2.21	11.362	2.219	6.237	6.795	1.169	1.441	8.282
SP110	2.221	2.414	4.095	1.999	8.037	0.306	1.292	6.251	0.668	3.551	4.303	0.936	0.713	5.246
SP140	1.487	2.45	0.386	1.032	0.69	0.16	0.251	0.615	0.399	0.403	0.478	0.451	0.149	0.657
SP140L	2.103	2.133	0.788	1.545	6.109	0.286	1.006	5.084	1.231	1.804	2.375	1.695	0.766	1.899
SP2	1.112	2.874	1.607	1.803	2.075	0.612	1.696	1.61	1.407	2.101	1.762	1.163	1.513	1.669
SP3	3.961	1.73	15.816	4.742	18.219	2.276	3.126	15.451	2.764	10.665	14.341	1.636	2.402	15.544
SP4	1.111	0.874	3.816	1.026	5.515	0.361	1.047	4.533	0.659	2.794	3.533	0.277	0.78	2.987
SP5	0.237	0.209	0.409	0.18	2.717	0	0.23	0.463	0.169	1.992	0.313	0.258	0.502	2.895
SP6	0.229	0.454	0.504	0.283	0.061	0.142	0.178	0.559	0.299	0.071	0.62	0.574	0.155	0.031
